	114	115
r11.severe.j.07327	5	1
r11.severe.j.07328	6	6
r11.severe.j.07329	1	1
r11.severe.j.07330	2	6
r11.severe.j.07331	1	1
r11.severe.j.07332	5	5
r11.severe.j.07333	1	1
r11.severe.j.07334	3	3
r11.severe.j.07335	3	3
r11.severe.j.07336	3	3
r11.severe.j.07337	1	6
r11.severe.j.07338	4	2
r11.severe.j.07341	6	2
r11.severe.j.07342	1	1
r11.severe.j.07343	1&&5	6
r11.severe.j.07353	4	2
r11.severe.j.07360	6	5
r11.severe.j.07367	6	1
r11.severe.j.07368	1	1
r11.severe.j.07376	1	1
r11.severe.j.07377	1	1
r11.severe.j.07385	1	1
r11.severe.j.07396	4	2
r11.severe.j.07402	1	1
r11.severe.j.07426	6	6
r11.severe.j.07428	6	1
r11.severe.j.07450	4	2
r11.severe.j.07453	2	1
r11.severe.j.07457	6	1
r11.severe.j.07458	6	6
r11.severe.j.07460	4&&5	1
r11.severe.j.07470	5	1
r11.severe.j.07478	4	1
r11.severe.j.07501	6	1
r11.severe.j.07505	6	1
r11.severe.j.07506	6	1
r11.severe.j.07521	6	1
r11.severe.j.07527	6	1
r11.severe.j.07528	6	1
r11.severe.j.07529	46	1
r11.severe.j.07532	6	1
r11.severe.j.07550	5	1
r11.severe.j.07553	46	1
r11.severe.j.07557	5	1
r11.severe.j.07559	5	1
r11.severe.j.07568	6	1
r11.severe.j.07570	1	1
r11.severe.j.07572	46	1
r11.severe.j.07584	6	1
r11.severe.j.07585	1	1
r11.severe.j.07590	6	1
r11.severe.j.07600	6	1
r11.severe.j.07617	1	1
r11.severe.j.07621	46	1
r11.severe.j.07622	46	1
r11.severe.j.07638	6	1
r11.severe.j.07639	6	1
r11.severe.j.07646	6	1
r11.severe.j.07651	6	5
r11.severe.j.07674	6	1
r11.severe.j.07677	6	1
r11.severe.j.07689	46	1
r11.severe.j.07690	1	1
r11.severe.j.07695	5	1
r11.severe.j.07700	5	5
r11.severe.j.07702	5	1
r11.severe.j.07705	4	1
r11.severe.j.07706	6	1
r11.severe.j.07713	6	1
r11.severe.j.07714	6	1
r11.severe.j.07720	1	1
r11.severe.j.07730	6	1
r11.severe.j.07733	6	1
r11.severe.j.07748	6	1
r11.severe.j.07752	5	1
r11.severe.j.07754	5	1
r11.severe.j.07755	5	1
r11.severe.j.07758	5	5
r11.severe.j.07777	5	5
r11.severe.j.07784	6	1
r11.severe.j.07792	6	1
r11.severe.j.07794	1	1
r11.severe.j.07801	1	1
r11.severe.j.07809	5	5
r11.severe.j.07842	5	1
r11.severe.j.07843	6	5
r11.severe.j.07874	46	1
r11.severe.j.07878	5	1
r11.severe.j.07894	1	6
r11.severe.j.07915	1	1
r11.severe.j.07925	5	5
r11.severe.j.07942	6	1
r11.severe.j.07943	46	1
r11.severe.j.07952	5	5
r11.severe.j.07978	5	5
r11.severe.j.07979	5	5
r11.severe.j.07983	6	1
r11.severe.j.07985	5	5
r11.severe.j.07988	1	6
