	101	102	111	113
r7.sight.n.04095	6	5	5	5
r7.sight.n.04096	47	4	4	47
r7.sight.n.04097	47	4	4	46
r7.sight.n.04107	2	2	2	2
r7.sight.n.04122	2	1	2	2
r7.sight.n.04123	2	2	1	1
r7.sight.n.04127	47	4	4	46
r7.sight.n.04130	1	1	2	2
r7.sight.n.04140	2	1	2	2
r7.sight.n.04145	4	4	4	4
r7.sight.n.04157	47	4	4	6
r7.sight.n.04165	5	4	4	4
r7.sight.n.04168	1	1	1	1
r7.sight.n.04170	2	1	2	2
r7.sight.n.04175	2	1	1	2
r7.sight.n.04177	2	1	2	2
r7.sight.n.04178	5	5	4	4
r7.sight.n.04182	5	5	5	5
r7.sight.n.04187	1	1	1	1
r7.sight.n.04190	2	2	2	2
r7.sight.n.04193	3	3	3	3
r7.sight.n.04194	1	1	1	6
r7.sight.n.04213	2	1	2	2
r7.sight.n.04222	2	1	2	6
r7.sight.n.04229	5	5	5	5
r7.sight.n.04232	2	2	2	2
r7.sight.n.04233	47	5	5	5
r7.sight.n.04239	5	4	4	5
r7.sight.n.04240	2	1	2	2
r7.sight.n.04247	45	1	1	1
r7.sight.n.04252	46	1	1	1
r7.sight.n.04253	45	45	1	1
r7.sight.n.04256	5	4	4	4
r7.sight.n.04260	1	1	1	1
r7.sight.n.04261	1	1	2	1
r7.sight.n.04264	5	4	4	4
r7.sight.n.04265	47	4	4	6
r7.sight.n.04266	47	4	4	46
r7.sight.n.04268	2	1	2	2
r7.sight.n.04279	47	5	4	6
r7.sight.n.04282	2	1	2	2
r7.sight.n.04291	5	5	4	5
r7.sight.n.04294	5	4	4	5
r7.sight.n.04296	6	5	4	46
r7.sight.n.04303	1	1	1	1
r7.sight.n.04312	46	44	44	46
r7.sight.n.04318	44	2	1	44
r7.sight.n.04319	2	1	5	2
r7.sight.n.04320	2	2	2	2
r7.sight.n.04321	3	3	3	3
r7.sight.n.04324	2	1	1	1
r7.sight.n.04331	4	6	5	5
r7.sight.n.04336	5	5	5	6
r7.sight.n.04338	5	5	5	5
r7.sight.n.04340	1	1	1	1
r7.sight.n.04341	3	3	3	3
r7.sight.n.04349	47	4	4	46
r7.sight.n.04354	3	3	3	3
r7.sight.n.04355	2	1	2	2
r7.sight.n.04369	2	2	2	2
r7.sight.n.04370	2	2	2	2
r7.sight.n.04372	2	2	2	2
r7.sight.n.04382	2	1	1	2
r7.sight.n.04394	2	2	2	2
r7.sight.n.04401	2	2	2	2
r7.sight.n.04405	2	2	2	2
r7.sight.n.04417	2	2	2	2
r7.sight.n.04427	2	2	2	2
r7.sight.n.04435	2	2	2	2
r7.sight.n.04441	2	2	2	2
r7.sight.n.04445	2	2	2	2
r7.sight.n.04455	2	2	2	2
r7.sight.n.04457	2	2	2	2
r7.sight.n.04471	1	2	2	2
r7.sight.n.04477	5	5	5	5
r7.sight.n.04488	2	1	2	2
r7.sight.n.04501	47	4	4	6
r7.sight.n.04502	5	5	5	5
r7.sight.n.04503	2	2	2	2
r7.sight.n.04506	45	45	1	45
r7.sight.n.04511	2	1	2	2
r7.sight.n.04525	2	1	1	1
r7.sight.n.04529	2	2	2	2
r7.sight.n.04531	2	1	2	2
r7.sight.n.04532	2	2	2	2
r7.sight.n.04536	2	1	2	2
r7.sight.n.04540	2	2	2	2
r7.sight.n.04541	2	2	2	2
r7.sight.n.04545	2	2	2	2
r7.sight.n.04547	5	5	5	5
r7.sight.n.04552	2	1	3	1
r7.sight.n.04554	2	2	2	2
r7.sight.n.04559	2	2	2	2
r7.sight.n.04571	2	2	2	2
r7.sight.n.04575	2	2	2	2
r7.sight.n.04576	5	5	5	5
r7.sight.n.04579	2	1	2	2
r7.sight.n.04582	45	45	6	45
r7.sight.n.04583	2	1	2	2
