	101	102	111	113
r4.smart.j.04513	1	1	1	1
r4.smart.j.04515	3	3	1	3
r4.smart.j.04519	1	1	1	1
r4.smart.j.04520	1	1	1	1
r4.smart.j.04524	1	4	4	4
r4.smart.j.04527	1	3	1	1
r4.smart.j.04529	1	1	1	3
r4.smart.j.04530	1	3	1	3
r4.smart.j.04531	1	3	1	3
r4.smart.j.04533	1	3	4	3
r4.smart.j.04537	1	1	1	1
r4.smart.j.04539	1	3	1	3
r4.smart.j.04540	1	3	1	3
r4.smart.j.04541	1	1	1	1
r4.smart.j.04545	3	3	3	3
r4.smart.j.04546	1	1	1	3
r4.smart.j.04547	1	1	1	1
r4.smart.j.04566	1	3	1	46
r4.smart.j.04569	1	3	1	3
r4.smart.j.04574	3	3	1	3
r4.smart.j.04580	1	3	3	3
r4.smart.j.04586	1	3	1	3
r4.smart.j.04589	1	3	1	3
r4.smart.j.04595	1	3	1	3
r4.smart.j.04600	1	1	1	1
r4.smart.j.04601	1	1	1	1
r4.smart.j.04625	46	1	1&&2	1
r4.smart.j.04634	1	1	1	3
r4.smart.j.04636	1	3	1	3
r4.smart.j.04643	1	1	1	1
r4.smart.j.04644	1	1	2	1
r4.smart.j.04649	1	1	1	3
r4.smart.j.04650	1	3	1	3
r4.smart.j.04654	1	3	1	3
r4.smart.j.04659	1	1	1	1
r4.smart.j.04663	1	3	1	3
r4.smart.j.04664	1	3	1	3
r4.smart.j.04666	1	3	1	1
r4.smart.j.04669	1	3	1	3
r4.smart.j.04671	1	3	1	3
r4.smart.j.04673	1	3	1	3
r4.smart.j.04674	1	1	1	3
r4.smart.j.04680	1	1	1	1
r4.smart.j.04683	1	46	1	3
r4.smart.j.04684	1	3	1	3
r4.smart.j.04694	1	3	1	3
r4.smart.j.04701	1	3	1	3
r4.smart.j.04706	1	1	1	1
r4.smart.j.04708	1	1	1	3
r4.smart.j.04716	1	3	1	3
r4.smart.j.04717	1	1	1	1
r4.smart.j.04725	1	3	1	3
r4.smart.j.04730	1	3	3	3
r4.smart.j.04736	1	3	1&&3	3
r4.smart.j.04745	1	1	1	1
r4.smart.j.04746	1	1	1	3
r4.smart.j.04751	1	3	1&&3	3
r4.smart.j.04754	1	1	1&&2	1
r4.smart.j.04756	1	3	1	3
r4.smart.j.04759	1	1	1	1
r4.smart.j.04760	1	1	1	1
r4.smart.j.04762	1	3	1	3
r4.smart.j.04764	7	7	7	7
r4.smart.j.04768	4	4	4	1&&4
r4.smart.j.04775	7	7	2	1
r4.smart.j.04778	1	1	1	3
r4.smart.j.04783	1	3	3	3
r4.smart.j.04784	1	3	2	1&&2
r4.smart.j.04787	1	3	1	3
r4.smart.j.04789	1	3	1	3
r4.smart.j.04814	46	1	2	1
r4.smart.j.04831	1	3	1	3
r4.smart.j.04832	1	3	1	3
r4.smart.j.04840	1	3	1	3
r4.smart.j.04845	1	1	1	1
r4.smart.j.04851	1	3	1	1
r4.smart.j.04854	1	3	1	3
r4.smart.j.04856	1	3	1	3
r4.smart.j.04857	1	3	1	3
r4.smart.j.04858	1	1	1	1
r4.smart.j.04866	1	1	1	1
r4.smart.j.04867	1	3	1	3
r4.smart.j.04868	2	2	2	2
r4.smart.j.04869	1	3	1	3
r4.smart.j.04872	7	7	7	7
r4.smart.j.04877	7	7	1	1
r4.smart.j.04881	1	3	1	3
r4.smart.j.04891	1	1	1	1
r4.smart.j.04892	1	1	1	3
r4.smart.j.04894	1	1	1	3
r4.smart.j.04896	1	1	1	1
r4.smart.j.04899	1	1	1	1
r4.smart.j.04900	1	1	1	3
r4.smart.j.04910	7	7	7	7
r4.smart.j.04915	2	2	2	2
r4.smart.j.04921	1	1	2	1
r4.smart.j.04926	2	2	2	2
r4.smart.j.04928	2	2	2	2
r4.smart.j.04929	2	2	2	2
r4.smart.j.04931	2	1	2	2
r4.smart.j.04933	2	2	2	2
r4.smart.j.04934	1	2	2	2
