	101	102	111	113
r8.state.n.06100	1	4	3	3
r8.state.n.06101	1	1	3	1
r8.state.n.06102	1	1	1	1
r8.state.n.06103	1	1	1	1
r8.state.n.06104	1	1	1	1
r8.state.n.06105	2	2	6	2
r8.state.n.06106	47	47	47	47
r8.state.n.06107	47	47	47	47
r8.state.n.06108	45	45	45	45
r8.state.n.06109	45	45	45	45
r8.state.n.06110	4	45	45	45
r8.state.n.06111	8	4	8	8
r8.state.n.06112	1	4	3	1
r8.state.n.06113	1	1	1	1
r8.state.n.06114	45	45	45	45
r8.state.n.06115	4	4	4	4
r8.state.n.06116	4	4	4	4
r8.state.n.06117	4	4	4	4
r8.state.n.06118	4	4	4	4
r8.state.n.06119	4	4	4	4
r8.state.n.06120	47	47	47	47
r8.state.n.06121	4	4	4	3&&4
r8.state.n.06122	4	4	4	4
r8.state.n.06123	4	4	4	4
r8.state.n.06124	4	4	4	4
r8.state.n.06125	4	4	7	4
r8.state.n.06126	47	47	47	47
r8.state.n.06127	2	2	2	2
r8.state.n.06128	2	2	2	2
r8.state.n.06129	2	2	2	2
r8.state.n.06130	47	47	47	47
r8.state.n.06131	47	47	47	47
r8.state.n.06132	47	47	47	47
r8.state.n.06133	47	47	47	47
r8.state.n.06134	47	47	47	47
r8.state.n.06135	8	4	8	8
r8.state.n.06136	47	47	47	47
r8.state.n.06137	8	47	47	47
r8.state.n.06138	4	45	4	3&&4
r8.state.n.06139	47	47	47	47
r8.state.n.06140	47	47	47	47
r8.state.n.06141	47	47	47	47
r8.state.n.06142	47	47	47	47
r8.state.n.06143	8	4	8	8
r8.state.n.06144	8	47	47	47
r8.state.n.06145	47	47	4	47
r8.state.n.06146	47	47	47	47
r8.state.n.06147	47	47	47	47
r8.state.n.06148	8	4	8	8
r8.state.n.06149	47	47	47	47
r8.state.n.06150	8	4	8	8
r8.state.n.06151	47	47	47	47
r8.state.n.06152	47	47	47	47
r8.state.n.06153	8	4	8	8
r8.state.n.06154	47	47	47	47
r8.state.n.06155	8	4	8	8
r8.state.n.06156	8	4	8	8
r8.state.n.06157	4	4	4	3
r8.state.n.06158	8	4	8	8
r8.state.n.06159	8	4	8	8
r8.state.n.06160	8	4	8	8
r8.state.n.06161	47	47	47	47
r8.state.n.06162	47	47	47	47
r8.state.n.06163	47	47	47	47
r8.state.n.06164	47	47	47	47
r8.state.n.06165	4	4	4	3&&4
r8.state.n.06166	2	2	2	2
r8.state.n.06167	47	47	47	47
r8.state.n.06168	47	47	47	47
r8.state.n.06169	47	47	47	47
r8.state.n.06170	47	47	47	47
r8.state.n.06171	47	47	47	47
r8.state.n.06172	47	47	47	47
r8.state.n.06173	47	47	47	47
r8.state.n.06174	8	4	8	8
r8.state.n.06211	6	2	2	2
r8.state.n.06260	47	47	47	47
r8.state.n.06261	47	47	47	47
r8.state.n.06309	1	3	1	1
r8.state.n.06347	47	47	47	47
r8.state.n.06348	1	1	1	1
r8.state.n.06350	1	45	1	1
r8.state.n.06359	47	47	47	47
r8.state.n.06390	1	1	1	1
r8.state.n.06448	45	1	45	45
r8.state.n.06475	1	1	3	1
r8.state.n.06536	47	47	47	47
r8.state.n.06568	8	4	8	8
r8.state.n.06606	1	1	1	1
r8.state.n.06637	47	47	47	47
r8.state.n.06655	1	1	3	1
r8.state.n.06679	1	1	1	1
r8.state.n.06723	1	4	44	1
r8.state.n.06725	1	4	3	1
r8.state.n.06738	1	1	3	1
r8.state.n.06752	1	1	1	1
r8.state.n.06812	1	1	3	1
r8.state.n.06842	1	1	3	1
r8.state.n.06848	47	47	47	47
r8.state.n.06861	47	47	47	47
