	101	102	111	113
r7.strike.n.05470	46	46	1	46
r7.strike.n.05471	2	1	2	2
r7.strike.n.05472	2	2	2	2
r7.strike.n.05473	2	2	2	2
r7.strike.n.05474	2	2	2	2
r7.strike.n.05475	2	2	2	2
r7.strike.n.05478	1	1	1	1
r7.strike.n.05482	45	45	45	45
r7.strike.n.05485	45	45	45	45
r7.strike.n.05487	2	2	2	2
r7.strike.n.05488	2	2	2	2
r7.strike.n.05493	5	5	5	46
r7.strike.n.05498	45	45	45	45
r7.strike.n.05501	2	2	2	2
r7.strike.n.05507	45	45	45	45
r7.strike.n.05513	1	1	1	1
r7.strike.n.05517	1	1	1	1
r7.strike.n.05533	1	1	1	1
r7.strike.n.05536	45	45	45	45
r7.strike.n.05552	2	2	2	2
r7.strike.n.05562	2	2	2	2
r7.strike.n.05570	45	45	45	45
r7.strike.n.05576	2	2	1	2
r7.strike.n.05582	1	1	1	1
r7.strike.n.05584	1	1	1	1
r7.strike.n.05594	2	2	2	2
r7.strike.n.05597	45	45	45	45
r7.strike.n.05609	1	1	1	1
r7.strike.n.05612	2	2	2	2
r7.strike.n.05613	1	1	1	1
r7.strike.n.05616	1	1	1	1
r7.strike.n.05621	1	1	1	1
r7.strike.n.05622	1	1	1	1
r7.strike.n.05626	45	45	45	45
r7.strike.n.05627	45	45	45	45
r7.strike.n.05641	1	1	1	1
r7.strike.n.05643	2	2	2	2
r7.strike.n.05644	46	5	5	46
r7.strike.n.05648	1	1	44	1
r7.strike.n.05654	1	1	1	1
r7.strike.n.05676	45	45	45	45
r7.strike.n.05686	45	45	45	45
r7.strike.n.05689	5	5	5	5
r7.strike.n.05690	45	45	45	45
r7.strike.n.05694	45	45	45	45
r7.strike.n.05699	45	45	45	45
r7.strike.n.05703	1	1	1	1
r7.strike.n.05705	45	45	45	45
r7.strike.n.05706	2	2	2	2
r7.strike.n.05707	45	45	45	45
r7.strike.n.05710	2	2	2	2
r7.strike.n.05714	1	1	1	1
r7.strike.n.05716	2	2	2	2
r7.strike.n.05725	2	2	2	2
r7.strike.n.05733	1	1	1	1
r7.strike.n.05740	1	1	1	1
r7.strike.n.05748	45	45	45	45
r7.strike.n.05759	1	1	1	1
r7.strike.n.05763	2	2	2	2
r7.strike.n.05769	1	1	1	1
r7.strike.n.05780	2	2	2	2
r7.strike.n.05782	45	45	45	45
r7.strike.n.05796	45	45	2	45
r7.strike.n.05802	2	2	1	2
r7.strike.n.05804	2	2	2	2
r7.strike.n.05816	2	2	2	2
r7.strike.n.05818	2	2	2	2
r7.strike.n.05821	2	2	2	2
r7.strike.n.05826	2	2	2	2
r7.strike.n.05833	2	2	2	2
r7.strike.n.05848	5	5	5	5
r7.strike.n.05858	2	2	2	2
r7.strike.n.05864	1	1	1	1
r7.strike.n.05867	45	45	45	45
r7.strike.n.05872	2	2	2	2
r7.strike.n.05873	45	45	45	45
r7.strike.n.05878	2	2	1	2
r7.strike.n.05885	2	2	2	2
r7.strike.n.05888	2	2	2	2
r7.strike.n.05895	2	2	2	2
r7.strike.n.05900	45	2	2	2
r7.strike.n.05905	2	2	2	2
r7.strike.n.05914	2	2	2	2
r7.strike.n.05916	2	2	2	2
r7.strike.n.05928	2	2	2	2
r7.strike.n.05932	2	2	2	2
r7.strike.n.05933	2	2	2	2
r7.strike.n.05938	2	2	2	2
r7.strike.n.05949	2	2	2	2
r7.strike.n.05950	2	2	2	2
r7.strike.n.05971	2	2	2	1
r7.strike.n.05972	2	2	2	2
r7.strike.n.05993	2	2	2	2
r7.strike.n.05995	1	2	1	1
r7.strike.n.05996	5	5	5	5
r7.strike.n.06000	45	45	45	45
r7.strike.n.06011	1	2	1	2
r7.strike.n.06016	1	1	1	1
r7.strike.n.06017	1	1	2	1
