	114	115
r11.strong.j.08001	6	1
r11.strong.j.08002	6	1
r11.strong.j.08003	46	1
r11.strong.j.08004	46	1
r11.strong.j.08005	46	1
r11.strong.j.08006	46	1
r11.strong.j.08007	2	1
r11.strong.j.08008	3	1
r11.strong.j.08009	47	47
r11.strong.j.08010	2	1
r11.strong.j.08011	2	1
r11.strong.j.08012	2	1
r11.strong.j.08013	2	1
r11.strong.j.08014	1	3
r11.strong.j.08015	3	1
r11.strong.j.08016	2	1
r11.strong.j.08017	2	1
r11.strong.j.08018	2	1
r11.strong.j.08019	2	1
r11.strong.j.08020	3	1
r11.strong.j.08021	2	1
r11.strong.j.08022	44	1
r11.strong.j.08023	6	1
r11.strong.j.08024	5&&6	6
r11.strong.j.08025	6	6
r11.strong.j.08026	3&&6	1
r11.strong.j.08027	5	1
r11.strong.j.08028	2	1
r11.strong.j.08029	2	1
r11.strong.j.08030	46	1
r11.strong.j.08031	46	1
r11.strong.j.08032	6	1
r11.strong.j.08033	2	1
r11.strong.j.08034	2	1
r11.strong.j.08035	47	47
r11.strong.j.08036	2	1
r11.strong.j.08037	6	1
r11.strong.j.08038	10	10
r11.strong.j.08039	6	1
r11.strong.j.08040	1	1
r11.strong.j.08041	4	1
r11.strong.j.08042	2	1
r11.strong.j.08043	2	1
r11.strong.j.08044	2	1
r11.strong.j.08045	2	1
r11.strong.j.08046	2	46
r11.strong.j.08047	2	1
r11.strong.j.08048	2	1
r11.strong.j.08049	6	1
r11.strong.j.08055	1	1
r11.strong.j.08063	2	1
r11.strong.j.08070	6	1
r11.strong.j.08081	3	1
r11.strong.j.08087	3	1
r11.strong.j.08107	2	1
r11.strong.j.08133	6	1
r11.strong.j.08135	2	1
r11.strong.j.08156	2	1
r11.strong.j.08166	6	1
r11.strong.j.08186	2	1
r11.strong.j.08219	6	1
r11.strong.j.08239	46	1
r11.strong.j.08267	6	1
r11.strong.j.08308	2	1
r11.strong.j.08328	46	1
r11.strong.j.08351	2	1
r11.strong.j.08358	6	1
r11.strong.j.08367	6	1
r11.strong.j.08408	1	1
r11.strong.j.08409	2	1
r11.strong.j.08444	1	1
r11.strong.j.08478	2	1
r11.strong.j.08485	2	1
r11.strong.j.08536	2	1
r11.strong.j.08551	2	1
r11.strong.j.08554	2	1
r11.strong.j.08566	1	1
r11.strong.j.08570	6	1
r11.strong.j.08582	2	1
r11.strong.j.08583	2	1
r11.strong.j.08585	2	1
r11.strong.j.08598	2	1
r11.strong.j.08611	44	1
r11.strong.j.08639	2	1
r11.strong.j.08681	2	1
r11.strong.j.08739	2	1
r11.strong.j.08775	2	1
r11.strong.j.08786	6	1
r11.strong.j.08810	2	1
r11.strong.j.08842	5&&6	1
r11.strong.j.08845	2	1
r11.strong.j.08884	2&&5&&6	1
r11.strong.j.08906	2	1
r11.strong.j.08917	6	1
r11.strong.j.08942	3	1
r11.strong.j.08951	6	6
r11.strong.j.08977	1	1
r11.strong.j.08982	2	1
r11.strong.j.08991	1	1
