	101	102	111	113
r4.succeed.v.04961	44	1	46	1
r4.succeed.v.04962	1	1	44	46
r4.succeed.v.04964	1	1	1	1
r4.succeed.v.04978	1	1	1	1
r4.succeed.v.04990	1	1	1	1
r4.succeed.v.04991	1	1	1	1
r4.succeed.v.04994	2	2	2	2
r4.succeed.v.04997	1	1	1	1
r4.succeed.v.04999	1	1	1	1
r4.succeed.v.05007	2	2	2	2
r4.succeed.v.05011	2	2	2	2
r4.succeed.v.05031	2	2	2	2
r4.succeed.v.05041	1	1	1	1
r4.succeed.v.05044	1	1	1	1
r4.succeed.v.05049	1	1	1	1
r4.succeed.v.05060	1	2	2	47
r4.succeed.v.05061	1	1	1	1
r4.succeed.v.05071	1	1	1	1
r4.succeed.v.05072	1	1	1	1
r4.succeed.v.05076	1	1	1	1
r4.succeed.v.05078	1	1	1	1
r4.succeed.v.05080	1	1	1	1
r4.succeed.v.05086	1	1	1	1
r4.succeed.v.05088	1	1	1	1
r4.succeed.v.05090	2	2	2	2
r4.succeed.v.05097	1	1	1	1
r4.succeed.v.05098	1	1	1	1
r4.succeed.v.05101	1	1	1	1
r4.succeed.v.05118	1	1	1	1
r4.succeed.v.05119	1	1	1	1
r4.succeed.v.05137	1	1	1	1
r4.succeed.v.05140	2	2	2	2
r4.succeed.v.05163	1	1	1	1
r4.succeed.v.05164	1	1	1	1
r4.succeed.v.05167	1	1	1	1
r4.succeed.v.05169	1	1	1	1
r4.succeed.v.05174	1	1	1	1
r4.succeed.v.05180	1	1	1	1
r4.succeed.v.05181	1	1	1	1
r4.succeed.v.05182	2	2	2	2
r4.succeed.v.05183	1	1	1	1
r4.succeed.v.05186	1	1	1	1
r4.succeed.v.05196	1	1	1	1
r4.succeed.v.05203	2	2	2	2
r4.succeed.v.05204	1	1	1	1
r4.succeed.v.05205	1	1	1	1
r4.succeed.v.05209	1	1	1	1
r4.succeed.v.05220	2	2	2	2
r4.succeed.v.05226	2	2	2	2
r4.succeed.v.05229	1	1	1	1
r4.succeed.v.05234	1	1	1	1
r4.succeed.v.05237	1	1	1	1
r4.succeed.v.05238	1	1	1	1
r4.succeed.v.05240	2	2	2	2
r4.succeed.v.05241	2	2	2	2
r4.succeed.v.05243	1	1	1	1
r4.succeed.v.05248	1	1	1	1
r4.succeed.v.05249	1	1	1	1
r4.succeed.v.05251	1	1	1	1
r4.succeed.v.05257	2	2	2	2
r4.succeed.v.05258	1	1	1	1
r4.succeed.v.05265	1	1	1	1
r4.succeed.v.05268	1	1	1	1
r4.succeed.v.05269	45	2	2	2
r4.succeed.v.05276	1	1	1	1
r4.succeed.v.05280	1	1	1	1
r4.succeed.v.05285	45	2	2	2
r4.succeed.v.05288	45	2	2	2
r4.succeed.v.05289	1	1	1	1
r4.succeed.v.05290	1	1	1	1
r4.succeed.v.05296	1	1	1	1
r4.succeed.v.05306	1	1	1	1
r4.succeed.v.05308	1	1	1	1
r4.succeed.v.05311	45	2	1	2
r4.succeed.v.05313	2	2	2	2
r4.succeed.v.05315	45	2	2	2
r4.succeed.v.05325	1	1	1	1
r4.succeed.v.05328	1	1	1	1
r4.succeed.v.05333	45	2	2	2
r4.succeed.v.05338	45	2	1	2
r4.succeed.v.05339	1	1	1	1
r4.succeed.v.05343	1	1	1	1
r4.succeed.v.05344	1	1	1	1
r4.succeed.v.05349	1	1	1	1
r4.succeed.v.05350	1	1	1	1
r4.succeed.v.05351	1	1	1	1
r4.succeed.v.05353	1	1	1	1
r4.succeed.v.05360	1	1	1	1
r4.succeed.v.05364	1	1	1	1
r4.succeed.v.05366	1	1	1	1
r4.succeed.v.05369	1	1	1	1
r4.succeed.v.05371	1	1	1	1
r4.succeed.v.05375	1	1	1	1
r4.succeed.v.05383	2	2	2	2
r4.succeed.v.05387	2	2	2	2
r4.succeed.v.05393	2	2	2	2
r4.succeed.v.05397	1	1	1	1
r4.succeed.v.05399	1	1	1	1
r4.succeed.v.05405	2	2	2	2
r4.succeed.v.05414	1	1	1	1
r4.succeed.v.05422	1	1	1	1
r4.succeed.v.05424	2	2	2	2
