	101	102	111	113
r4.success.n.05468	2	3	3	2&&3
r4.success.n.05479	1	2	2	1
r4.success.n.05499	2	1	2	2
r4.success.n.05510	1	1	1	3
r4.success.n.05515	1	2	1	1
r4.success.n.05518	1	1	1	2
r4.success.n.05534	1	3	2	1
r4.success.n.05535	2	2	3	2&&3
r4.success.n.05541	3	3	3	2
r4.success.n.05549	1	3	1	1
r4.success.n.05550	1	1	3	2
r4.success.n.05562	2	1	1	2
r4.success.n.05576	1	1	1	2
r4.success.n.05623	2	2	3	3
r4.success.n.05644	1	3	3	3
r4.success.n.05649	3	3	3	2&&3
r4.success.n.05680	2	2	3	2
r4.success.n.05685	2	3	3	3
r4.success.n.05686	1	2	2	1
r4.success.n.05693	2	3	3	3
r4.success.n.05698	3	3	3	3
r4.success.n.05705	2	2	2	2
r4.success.n.05708	2	3	3	3
r4.success.n.05722	1	1	1	2
r4.success.n.05725	2	1	2	2
r4.success.n.05745	1	2	2	2
r4.success.n.05746	1	2	3	2
r4.success.n.05751	3	3	3	3
r4.success.n.05755	2	2	3	3
r4.success.n.05756	2	2	3	1
r4.success.n.05770	2	2	3	1
r4.success.n.05773	2	2	1	1
r4.success.n.05787	1	2	1	2
r4.success.n.05791	2	2	1	1
r4.success.n.05807	2	3	3	3
r4.success.n.05808	2	2	3	2
r4.success.n.05810	1	2	2	1
r4.success.n.05811	1	2	2	2
r4.success.n.05815	1	3	3	1
r4.success.n.05818	1	2	2	1&&2
r4.success.n.05821	2	2	2&&3	2
r4.success.n.05833	1	2	1	2
r4.success.n.05836	1	3	2	2
r4.success.n.05845	2	3	2	2
r4.success.n.05848	2	1	1	1
r4.success.n.05854	3	3	3	3
r4.success.n.05865	1	3	2	2
r4.success.n.05871	1	1	3	1
r4.success.n.05882	2	2	1	3
r4.success.n.05896	1	2	1	2
r4.success.n.05923	3	3	3	3
r4.success.n.05927	1	2	3	3
r4.success.n.05943	2	1	3	3
r4.success.n.05946	1	2	3	2
r4.success.n.05970	2	1	2	2
r4.success.n.05981	2	2	3	2
r4.success.n.05992	3	1	2	2
r4.success.n.06009	1	2	1	1
r4.success.n.06015	1	2	1	1
r4.success.n.06047	1	1	2	1
r4.success.n.06051	1	2	3	2
r4.success.n.06056	1	2	1	1
r4.success.n.06058	2	3	2	1
r4.success.n.06066	1	1	3	2
r4.success.n.06091	1	3	2	1
r4.success.n.06110	1	2	2	1
r4.success.n.06126	1	3	2	1
r4.success.n.06128	1	3	2	1
r4.success.n.06142	1	1	2	1
r4.success.n.06151	1	2	2	2
r4.success.n.06155	3	3	3	2
r4.success.n.06161	1	2	1	1
r4.success.n.06175	1	2	3	2
r4.success.n.06176	1	2	2	2
r4.success.n.06201	1	1	1	44
r4.success.n.06203	1	2	2	1
r4.success.n.06206	1	3	2	1
r4.success.n.06245	1	3	2	2
r4.success.n.06255	1	2	1	2
r4.success.n.06262	1	3	3	1
r4.success.n.06269	2	1	2	2
r4.success.n.06289	1	2	2	3
r4.success.n.06299	1	1	2	1
r4.success.n.06300	1	3	2	1
r4.success.n.06302	1	3	3	2&&3
r4.success.n.06307	1	3	2	1
r4.success.n.06316	1	3	1	1
r4.success.n.06318	1	2	2	1
r4.success.n.06325	1	2	1	2
r4.success.n.06329	1	1	1	1
r4.success.n.06332	2	3	3	2
r4.success.n.06336	2	2	2	1
r4.success.n.06337	2	2	3	3
r4.success.n.06341	1	3	2	2
r4.success.n.06343	1	1	2	2
r4.success.n.06361	1	1	3	1
r4.success.n.06365	3	3	2	1
r4.success.n.06375	1	2	2	1
r4.success.n.06376	2	2	3	2
r4.success.n.06411	2	1	2	2
r4.success.n.06423	2	1	3	2
r4.success.n.06443	2	3	4	3
