	114	115	116
r1.successful.j.01407	1	1	1
r1.successful.j.01408	1	1	1
r1.successful.j.01409	1	1	1
r1.successful.j.01410	1	1	1
r1.successful.j.01411	1	1	1
r1.successful.j.01412	1	1	1
r1.successful.j.01413	1	1	1
r1.successful.j.01414	1	1	1
r1.successful.j.01415	1	1	1
r1.successful.j.01416	1	1	1
r1.successful.j.01417	1	1	1
r1.successful.j.01418	1	1	1
r1.successful.j.01419	1	1	1
r1.successful.j.01420	1	1	1
r1.successful.j.01421	1	1	1
r1.successful.j.01422	1	1	1
r1.successful.j.01423	1	1	1
r1.successful.j.01424	1	1	1
r1.successful.j.01425	1	1	1
r1.successful.j.01426	1	1	1
r1.successful.j.01427	1	1	1
r1.successful.j.01428	1	1	1
r1.successful.j.01429	1	1	1
r1.successful.j.01430	1	1	1
r1.successful.j.01431	1	1	1
r1.successful.j.01432	1	1	1
r1.successful.j.01433	1	1	1
r1.successful.j.01434	1	1	1
r1.successful.j.01435	1	1	1
r1.successful.j.01436	1	1	1
r1.successful.j.01437	1	1	1
r1.successful.j.01438	1	1	1
r1.successful.j.01439	1	1	1
r1.successful.j.01440	1	1	1
r1.successful.j.01441	1	1	1
r1.successful.j.01442	1	1	1
r1.successful.j.01443	1	1	1
r1.successful.j.01444	1	1	1
r1.successful.j.01445	1	1	1
r1.successful.j.01446	1	1	1
r1.successful.j.01447	1	1	1
r1.successful.j.01448	1	1	1
r1.successful.j.01449	1	1	1
r1.successful.j.01450	1	1	1
r1.successful.j.01451	1	1	1
r1.successful.j.01452	1	1	1
r1.successful.j.01453	1	1	1
r1.successful.j.01454	1	1	1
r1.successful.j.01455	1	1	1
r1.successful.j.01456	1	1	1
r1.successful.j.01457	1	1	1
r1.successful.j.01458	1	1	1
r1.successful.j.01459	1	1	1
r1.successful.j.01460	1	1	1
r1.successful.j.01461	1	1	1
r1.successful.j.01462	1	1	1
r1.successful.j.01463	1	1	1
r1.successful.j.01464	1	1	1
r1.successful.j.01465	1	1	1
r1.successful.j.01466	1	1	1
r1.successful.j.01467	1	1	1
r1.successful.j.01468	1	1	1
r1.successful.j.01469	1	1	1
r1.successful.j.01470	1	1	1
r1.successful.j.01471	1	1	1
r1.successful.j.01472	1	1	1
r1.successful.j.01473	1	1	1
r1.successful.j.01474	1	1	1
r1.successful.j.01475	1	1	1
r1.successful.j.01476	1	1	1
r1.successful.j.01477	1	1	1
r1.successful.j.01478	1	1	1
r1.successful.j.01479	1	1	1
r1.successful.j.01480	1	1	1
r1.successful.j.01481	1	1	1
r1.successful.j.01482	1	1	1
r1.successful.j.01483	1	1	1
r1.successful.j.01484	1	1	1
r1.successful.j.01485	1	1	1
r1.successful.j.01486	1	1	1
r1.successful.j.01487	1	1	1
r1.successful.j.01488	1	1	1
r1.successful.j.01489	1	1	1
r1.successful.j.01490	1	1	1
r1.successful.j.01491	1	1	1
r1.successful.j.01492	1	1	1
r1.successful.j.01493	1	1	1
r1.successful.j.01494	1	1	1
r1.successful.j.01495	1	1	1
r1.successful.j.01496	1	1	1
r1.successful.j.01497	1	1	1
r1.successful.j.01498	1	1	1
r1.successful.j.01499	1	1	1
r1.successful.j.01500	1	1	1
r1.successful.j.01501	1	1	1
r1.successful.j.01502	1	1	1
r1.successful.j.01503	1	1	1
r1.successful.j.01504	1	1	1
r1.successful.j.01505	1	1	1
r1.successful.j.01506	1	1	1
