	101	102	103	105	107	108
r2.tell.v.05637	1	2	2	1	1	1
r2.tell.v.05649	1	1	1	1	2	1
r2.tell.v.05663	1	2	2	2	2	1
r2.tell.v.05664	1	1	3	3	3	3
r2.tell.v.05679	1	1	4	4	1	1
r2.tell.v.05711	2	2	6	2	2	2
r2.tell.v.05718	45	45	46	45	2	45
r2.tell.v.05733	4	4	4	4	4	4
r2.tell.v.05748	3	3	2	3	3	3
r2.tell.v.05776	4	4	4	4	4	4
r2.tell.v.05784	1	6	6	2	6	6
r2.tell.v.05794	1	1	2	1	1	1
r2.tell.v.05815	1	2	2	1	1	1
r2.tell.v.05846	2	2	2	1	2	2
r2.tell.v.05874	6	6	2	2	2	6
r2.tell.v.05885	1	1	1	1	1	1
r2.tell.v.05887	4	2	2	4	4	4
r2.tell.v.05896	1	2	2	1	1	1
r2.tell.v.05905	1	1	2	1	1	1
r2.tell.v.05931	2	6	1	1	1	1
r2.tell.v.05943	1	1	2	1	1	1
r2.tell.v.05957	1	1	2	1	1	1
r2.tell.v.05968	1	2	2	2	2	2
r2.tell.v.05982	1	3	3	1	1	2
r2.tell.v.05998	1	3	2	3	3	3
r2.tell.v.06002	2	1	4	4	4	4
r2.tell.v.06027	3	3	3	3	3	3
r2.tell.v.06028	2	6	2	1	1	1
r2.tell.v.06032	47	2	2	2	2	1
r2.tell.v.06068	2	6	2	6	2	2
r2.tell.v.06072	5	5	5	5	5	5
r2.tell.v.06077	2	3	2	3	2	3
r2.tell.v.06084	1	2	1	2	1	1
r2.tell.v.06104	1	2	1	1	2	1
r2.tell.v.06109	2	3	2	2	2	2
r2.tell.v.06115	1	1	2	1	1	1
r2.tell.v.06118	2	2	2	2	6	2
r2.tell.v.06125	2	2	2	1	1	2
r2.tell.v.06140	2	1	2	1	1	1
r2.tell.v.06145	2	1	2	1	1	1
r2.tell.v.06156	2	2	2	1	1	2
r2.tell.v.06157	2	2	2	2	2	2
r2.tell.v.06164	2	1	2	1	1	2
r2.tell.v.06186	2	2	2	2	2	2
r2.tell.v.06192	2	2	2	1	1	2
r2.tell.v.06195	2	2	2	2	2	1
r2.tell.v.06201	2	2	2	1	1	2
r2.tell.v.06202	2	1	2	1	1	1
r2.tell.v.06205	2	2	2	2	1	2
r2.tell.v.06207	1	2	1	1	1	2
r2.tell.v.06213	1	2	2	2	1	1
r2.tell.v.06222	1	1	2	1	1	1
r2.tell.v.06232	2	2	2	1	2	1
r2.tell.v.06241	4	4	4	4	4	4
r2.tell.v.06244	2	1	2	1	1	2
r2.tell.v.06251	2	2	2	2	2	2
r2.tell.v.06254	1	2	2	2	1	1
r2.tell.v.06270	2	1	2	2	2	1
r2.tell.v.06274	2	1	2	2	2	2
r2.tell.v.06284	1	1	2	1	1	4
r2.tell.v.06311	2	2	2	2	2	2
r2.tell.v.06315	1	2	3	1	1	1
r2.tell.v.06319	3	2	3	1	2	2
r2.tell.v.06320	3	3	3	3	2	2
r2.tell.v.06323	2	1	2	1	1	6
r2.tell.v.06328	3	3	3	3	3	3
r2.tell.v.06332	45	45	45	45	46	46
r2.tell.v.06333	45	45	45	45	46	46
r2.tell.v.06341	3	3	3	3	3	3
r2.tell.v.06350	4	4	4	1	4	4
r2.tell.v.06355	3	3	3	3	3	3
r2.tell.v.06377	3	3	3	1	3	3
r2.tell.v.06379	1	1	2	1	1	2
r2.tell.v.06394	3	3	3	3	7	3
