	101	102	105	107	108
r2.time.n.06398	3	2	2	2	2
r2.time.n.06402	1	1	1	1	1
r2.time.n.06406	4	4	4	4	4
r2.time.n.06413	1	7	7	7	7
r2.time.n.06416	1	1	1	1	1
r2.time.n.06450	2	3	1	3	4
r2.time.n.06454	3	3	2	2	3
r2.time.n.06455	3	1	3	3	3
r2.time.n.06460	5	3	3	3	3
r2.time.n.06475	2	2	2	2	2
r2.time.n.06481	1	1	1	1	1
r2.time.n.06483	45	45	46	46	46
r2.time.n.06486	1	1	3	1	1
r2.time.n.06491	2	2	2	2	2
r2.time.n.06493	3	3	3	3	3
r2.time.n.06536	3	3	3	3	3
r2.time.n.06540	6	6	6	6	6
r2.time.n.06541	1	1	3	1	1
r2.time.n.06548	3	3	3	3	2
r2.time.n.06549	45	45	46	46	46
r2.time.n.06553	45	45	46	46	46
r2.time.n.06561	45	45	46	46	46
r2.time.n.06567	3	3	3	3	3
r2.time.n.06574	2	8	2	2	2
r2.time.n.06577	45	45	46	46	46
r2.time.n.06582	45	45	46	46	46
r2.time.n.06587	45	45	46	46	46
r2.time.n.06602	45	45	46	46	46
r2.time.n.06611	3	3	3	3	3
r2.time.n.06624	45	45	46	46	46
r2.time.n.06627	2	2	2	2	2
r2.time.n.06646	45	45	46	46	46
r2.time.n.06649	45	45	46	46	46
r2.time.n.06653	45	45	46	6	44
r2.time.n.06667	45	45	46	46	46
r2.time.n.06669	45	45	46	46	46
r2.time.n.06679	45	45	46	46	46
r2.time.n.06681	45	45	46	46	46
r2.time.n.06738	45	45	46	46	46
r2.time.n.06749	1	1	1	1	1
r2.time.n.06754	1	1	1	1	1
r2.time.n.06767	3	1	3	3	3
r2.time.n.06770	3	3	2	3	3
r2.time.n.06774	2	2	2	2	2
r2.time.n.06783	2	2	3	3	2
r2.time.n.06784	6	3	2	6	6
r2.time.n.06788	3	3	3	3	3
r2.time.n.06792	1	1	1	1	47
r2.time.n.06801	1	1	1	1	1
r2.time.n.06818	1	1	1	1	1
r2.time.n.06820	3	5	3	3	5
r2.time.n.06845	5	8	5	5	5
r2.time.n.06848	1	1	1	1	1
r2.time.n.06868	7	7	1	4	7
r2.time.n.06875	3	3	3	3	3
r2.time.n.06879	46	46	45	1	45
r2.time.n.06881	2	2	2	2	2
r2.time.n.06916	1	7	7	7	4
r2.time.n.06928	2	2	3	3	47
r2.time.n.06948	2	3	2	3	2
r2.time.n.06951	2	2	3	2	2
r2.time.n.06964	3	3	3	3	3
r2.time.n.06974	3	3	3	3	3
r2.time.n.06981	1	1	1	1	1
r2.time.n.06991	3	1	3	3	4
r2.time.n.07011	5	8	8	8	8
r2.time.n.07012	3	8	8	8	3
r2.time.n.07015	1	1	1	1	1
r2.time.n.07030	5	5	2	5	47
r2.time.n.07036	45	45	45	45	45
r2.time.n.07041	45	45	2	2	45
r2.time.n.07056	2	2	3	2	3
r2.time.n.07061	1	1	1	1	1
r2.time.n.07076	2	8	7	7	2
r2.time.n.07083	3	3	3	3	3
r2.time.n.07089	3	4	7	7	4
r2.time.n.07167	3	8	3	5	47
r2.time.n.07186	2	2	47	2	47
r2.time.n.07193	3	2	2	2	2
r2.time.n.07214	47	1	1	3	47
r2.time.n.07231	3	3	3	3	3
r2.time.n.07233	3	3	3	3	2
r2.time.n.07236	3	3	3	3	3
r2.time.n.07237	3	3	3	5	47
r2.time.n.07241	3	3	3	3	2
r2.time.n.07243	3	1	3	3	4
r2.time.n.07261	3	3	2	2	2
r2.time.n.07269	2	2	2	2	2
r2.time.n.07271	3	3	3	3	3
r2.time.n.07299	1	1	1	1	1
r2.time.n.07306	1	1	1	1	1
r2.time.n.07315	3	3	3	3	3
r2.time.n.07322	2	2	2	2	2
r2.time.n.07330	3	3	3	5	47
r2.time.n.07337	45	45	46	46	46
r2.time.n.07345	3	3	3	3	3
r2.time.n.07350	3	3	3	3	2
r2.time.n.07353	3	8	5	5	5
r2.time.n.07355	3	3	3	3	2
r2.time.n.07365	3	3	3	3	2
