	114	115
r11.true.j.08992	8	8
r11.true.j.08993	7	8
r11.true.j.08994	1	1
r11.true.j.08995	1	1
r11.true.j.08996	2	1
r11.true.j.08997	1	5
r11.true.j.08998	1	1
r11.true.j.08999	1	1
r11.true.j.09000	1	1
r11.true.j.09001	1	1
r11.true.j.09002	1	1
r11.true.j.09003	1	1
r11.true.j.09004	1	1
r11.true.j.09006	8	8
r11.true.j.09007	1	1
r11.true.j.09008	5	8
r11.true.j.09009	8	1
r11.true.j.09010	1	1
r11.true.j.09011	5	8
r11.true.j.09012	1	1
r11.true.j.09013	47	47
r11.true.j.09014	1	1
r11.true.j.09015	5	5
r11.true.j.09016	5	5
r11.true.j.09017	7	8
r11.true.j.09018	8	8
r11.true.j.09019	1	1
r11.true.j.09020	1	1
r11.true.j.09021	1	1
r11.true.j.09022	1	8
r11.true.j.09025	7	8
r11.true.j.09026	1	1
r11.true.j.09027	8	1
r11.true.j.09028	6	6
r11.true.j.09029	1	1
r11.true.j.09030	1	1
r11.true.j.09031	5	5
r11.true.j.09034	1	1
r11.true.j.09035	1	1
r11.true.j.09037	1	1
r11.true.j.09039	1	1
r11.true.j.09041	1	1
r11.true.j.09042	1	1
r11.true.j.09043	1	1
r11.true.j.09044	1	1
r11.true.j.09045	1	47
r11.true.j.09046	1	1
r11.true.j.09047	1	1
r11.true.j.09048	1	1
r11.true.j.09049	1	1
r11.true.j.09050	1	1
r11.true.j.09051	8	8
r11.true.j.09053	1	1
r11.true.j.09054	1	1
r11.true.j.09055	1	1
r11.true.j.09056	5	5
r11.true.j.09057	1	1
r11.true.j.09058	5	5
r11.true.j.09059	1	1
r11.true.j.09060	1	1
r11.true.j.09061	1	1
r11.true.j.09062	1	1
r11.true.j.09063	5	8
r11.true.j.09064	5	8
r11.true.j.09065	1	5
r11.true.j.09068	1	1
r11.true.j.09069	1	47
r11.true.j.09070	1	47
r11.true.j.09071	1	1
r11.true.j.09117	1	1
r11.true.j.09325	1	1
r11.true.j.09363	1	1
r11.true.j.09679	8	8
r11.true.j.09726	1	1
r11.true.j.09737	1	1
r11.true.j.09794	5	5
r11.true.j.09848	1	5
r11.true.j.09871	1	5
