	107	108	109	111	113
r3.try.v.04919	1	1	1	1	1
r3.try.v.04927	5	44	3	3	44
r3.try.v.04944	1	1	1	1	1
r3.try.v.04985	1	1	1	1	1
r3.try.v.04986	1	1	1	1	1
r3.try.v.04994	1	2	4	1	2
r3.try.v.04998	1	1	1	1	1
r3.try.v.05009	1	1	1	1	1
r3.try.v.05017	1	1	1	1	1
r3.try.v.05021	1	1	1	1	1
r3.try.v.05028	1	1	1	1	1
r3.try.v.05031	47	47	47	9	9
r3.try.v.05042	1	1	1	1	1
r3.try.v.05049	1	1	1	1	1
r3.try.v.05061	1	1	1	1	1
r3.try.v.05063	1	1	1	1	1
r3.try.v.05089	1	1	1	1	1
r3.try.v.05098	1	1	1	1	1
r3.try.v.05105	1	1	1	1	1
r3.try.v.05117	1	1	1	1	1
r3.try.v.05124	2	2	2	2	4
r3.try.v.05127	1	1	1	1	1
r3.try.v.05134	1	1	1	1	1
r3.try.v.05136	1	1	1	1	1
r3.try.v.05140	1	1	1	1	1
r3.try.v.05141	1	1	1	1	1
r3.try.v.05163	1	1	1	1	1
r3.try.v.05167	1	1	1	1	1
r3.try.v.05180	4	2&&4	4	1	1
r3.try.v.05221	2	2	2	2	2
r3.try.v.05236	1	1	1	1	1
r3.try.v.05241	1	1	1	1	1
r3.try.v.05245	1	1	1	1	1
r3.try.v.05247	2	2	2	1	2
r3.try.v.05250	1	1	1	1	1
r3.try.v.05253	1	1	1	1	1
r3.try.v.05258	1	1	1	1	1
r3.try.v.05273	1	1	1	1	1
r3.try.v.05274	2	1	4	1	2
r3.try.v.05281	1	1	1	1	1
r3.try.v.05288	1	1	1	1	1
r3.try.v.05293	1	2	1	1	1
r3.try.v.05324	1	1	1	1	1
r3.try.v.05341	2	2	2	2	2
r3.try.v.05344	45	45	45	1	45
r3.try.v.05394	1	2	1	1	1&&2
r3.try.v.05395	5	5	3	3	5
r3.try.v.05396	1	1	1	1	1
r3.try.v.05418	1	1	1	1	1
r3.try.v.05431	5	5	3	3	3
r3.try.v.05432	1	1	1	1	1
r3.try.v.05433	5	5	3	3	3&&5
r3.try.v.05436	1	1	1	1	1
r3.try.v.05470	1	1	1	1	1
r3.try.v.05496	1	1	1	1	1
r3.try.v.05510	1	1	1	1	1
r3.try.v.05520	1	1	1	1	1
r3.try.v.05530	1	1	1	1	1
r3.try.v.05545	1	1	1	1	1
r3.try.v.05551	1	1	1	1	1
r3.try.v.05554	1	1	1	1	1
r3.try.v.05556	1	1	1	1	1
r3.try.v.05564	1	1	1	1	1
r3.try.v.05567	1	1	1	1	1
r3.try.v.05579	1	1	1	1	1
r3.try.v.05583	1	1&&2	2	2	1
r3.try.v.05591	1	1	1	1	1
r3.try.v.05615	7	7	7	7	7
r3.try.v.05621	1	1	1	1	1
r3.try.v.05644	2	2	2	2	2
r3.try.v.05648	1	1	1	1	1
r3.try.v.05659	1	1	1	1	1
r3.try.v.05668	2	2	2	2	2
r3.try.v.05685	1	1	1	1	1
r3.try.v.05691	47	47	47	2	2
r3.try.v.05697	45	45	45	45	45
r3.try.v.05698	1	1	1	1	1
r3.try.v.05702	1	1	1	1	1
r3.try.v.05721	1	1	1	1	1
r3.try.v.05725	1	1	1	1	1
r3.try.v.05735	1	1	1	1	1
r3.try.v.05739	2	2	2	1	2
r3.try.v.05752	1	1	1	1	1
r3.try.v.05780	1	1	1	1	1
r3.try.v.05787	1	1	1	1	1
r3.try.v.05798	2	2	2	2	2
r3.try.v.05813	2	2	2	2	2
r3.try.v.05816	2	2	2	7	2
r3.try.v.05839	1	1	1	1	1
r3.try.v.05848	1	1	1	1	1
r3.try.v.05855	1	1	1	1	1
r3.try.v.05859	1	2	4	1	1
r3.try.v.05879	4	2&&4	4	4	4
r3.try.v.05897	2	2	4	2	2
r3.try.v.05905	1	1	1	1	1
r3.try.v.05907	2	2	2	2	2
