	101	102	111	115
r10.wait.v.08044	3	3	3	3
r10.wait.v.08045	3	3	1	1
r10.wait.v.08047	3	3	3	3
r10.wait.v.08048	3	3	3	3
r10.wait.v.08052	3	3	3	3
r10.wait.v.08054	3	3	3	3
r10.wait.v.08055	3	3	3	3
r10.wait.v.08056	3	3	3	3
r10.wait.v.08057	1	3	3	3
r10.wait.v.08059	2	2	2	2
r10.wait.v.08060	45	47	47	45
r10.wait.v.08061	3	3	3	3
r10.wait.v.08062	3	3	3	3
r10.wait.v.08063	3	3	1	3
r10.wait.v.08065	1	1	1	1
r10.wait.v.08066	3	1	3	3
r10.wait.v.08067	1	3	1	1
r10.wait.v.08068	1	1	1	1
r10.wait.v.08069	1	1	1	1
r10.wait.v.08070	1	1	3	1
r10.wait.v.08071	3	3	3	3
r10.wait.v.08073	47	3	47	45
r10.wait.v.08075	3	1	2	1
r10.wait.v.08076	1	1	1	1
r10.wait.v.08077	1	1	1	1
r10.wait.v.08078	47	2	3	45
r10.wait.v.08082	2	2	2	2
r10.wait.v.08083	3	3	1	44
r10.wait.v.08084	3	2	2	46
r10.wait.v.08085	1	3	3	3
r10.wait.v.08086	2	3	1	2
r10.wait.v.08088	1	3	1	1
r10.wait.v.08089	47	3	3	46
r10.wait.v.08090	1	3	1	1
r10.wait.v.08095	1	1	1	1
r10.wait.v.08097	2	1	1	1
r10.wait.v.08098	1	1	1	1
r10.wait.v.08099	1	1	1	1
r10.wait.v.08100	3	3	3	3
r10.wait.v.08101	2	2	1	1
r10.wait.v.08102	1	3	1	45
r10.wait.v.08103	1	3	1	1
r10.wait.v.08105	2	2	1	2
r10.wait.v.08106	3	3	2	44
r10.wait.v.08111	1	2	1	1
r10.wait.v.08112	1	1	1	1
r10.wait.v.08113	3	2	3	1
r10.wait.v.08114	2	2	2	3
r10.wait.v.08115	2	3	1	2
r10.wait.v.08116	2	2	2	2
r10.wait.v.08117	3	3	3	3
r10.wait.v.08118	2	2	2	2
r10.wait.v.08119	3	3	1	3
r10.wait.v.08120	2	2	2	2
r10.wait.v.08121	2	2	2	2
r10.wait.v.08122	1	3	2	1
r10.wait.v.08123	2	2	2	2
r10.wait.v.08125	1	47	47	45
r10.wait.v.08126	1	3	1	1
r10.wait.v.08127	1	1	1	1
r10.wait.v.08128	1	47	47	45
r10.wait.v.08129	1	3	1	1
r10.wait.v.08130	2	2	2	2
r10.wait.v.08133	3	3	1	3
r10.wait.v.08137	1	1	1	1
r10.wait.v.08140	1	1	1	1
r10.wait.v.08142	1	1	1	1
r10.wait.v.08143	3	3	1	3
r10.wait.v.08145	1	1	1	1
r10.wait.v.08146	3	3	3	3
r10.wait.v.08147	2	3	1	1
r10.wait.v.08148	1	3	1	1
r10.wait.v.08149	1	3	1	1
r10.wait.v.08150	1	1	1	1
r10.wait.v.08151	3	3	1	1
r10.wait.v.08152	2	2	2	1
r10.wait.v.08155	1	3	1	1
r10.wait.v.08156	45	46	2	44
r10.wait.v.08157	3	3	3	3
r10.wait.v.08160	1	3	1	1
r10.wait.v.08161	3	3	1	44
r10.wait.v.08162	3	3	3	1
r10.wait.v.08163	3	3	3	3
r10.wait.v.08164	1	3	1	1
