	101	102	111	113
r6.warm.j.06147	1	1	1	1
r6.warm.j.06164	1	1	1	1
r6.warm.j.06213	1	1	1	1
r6.warm.j.06249	1	1	1	1
r6.warm.j.06261	1	1	1	1
r6.warm.j.06265	1	1	1	1
r6.warm.j.06273	1	1	1	1
r6.warm.j.06276	1	1	1	1
r6.warm.j.06281	1	1	1	1
r6.warm.j.06296	1	1	1	1
r6.warm.j.06297	1	1	1	1
r6.warm.j.06305	2	2	2	2
r6.warm.j.06306	1	1	1	1
r6.warm.j.06311	2	2	2	2&&6
r6.warm.j.06315	2	2	2	2
r6.warm.j.06318	2	2	2	6
r6.warm.j.06323	2	2	2	2
r6.warm.j.06327	2	2	2	2
r6.warm.j.06329	1	1	1	1
r6.warm.j.06351	1	1	1	1
r6.warm.j.06353	1	1	1	3
r6.warm.j.06355	2	2	2	2&&6
r6.warm.j.06356	2	2	2&&6	2&&6
r6.warm.j.06361	2	2	6	2
r6.warm.j.06363	1	1	4	1
r6.warm.j.06371	2	2	2	2
r6.warm.j.06381	1	1	1	1
r6.warm.j.06385	2	2	2	2
r6.warm.j.06387	1	2	2	2
r6.warm.j.06394	1	1	1	1
r6.warm.j.06396	46	46	1	46
r6.warm.j.06398	1	1	1	1
r6.warm.j.06400	2	2	2	2
r6.warm.j.06402	2	2	2	2&&6
r6.warm.j.06418	1	1	1	1
r6.warm.j.06435	2	2	2	2
r6.warm.j.06437	1	1	1	1
r6.warm.j.06441	1	1	1	1
r6.warm.j.06447	1	3	1&&3	1&&3
r6.warm.j.06448	1	1	1	1
r6.warm.j.06457	1	1	1	1
r6.warm.j.06470	1	1	1	1
r6.warm.j.06472	1	1	1	1
r6.warm.j.06476	1	1	1	1
