	101	102	111	113
r8.way.n.07649	2	1	1	1
r8.way.n.07650	2	1	1	1
r8.way.n.07651	3	3	7	7
r8.way.n.07652	2	2	2	2
r8.way.n.07653	4	4	4	1
r8.way.n.07654	2	1	1	1
r8.way.n.07655	2	2	2	2
r8.way.n.07656	45	45	1	46
r8.way.n.07657	5	3	3	5
r8.way.n.07658	5	3	3	5
r8.way.n.07659	1	1	1	1
r8.way.n.07660	9	9	9	9
r8.way.n.07661	4	1	1	1
r8.way.n.07662	1	1	1	1
r8.way.n.07663	2	2	1	2
r8.way.n.07664	2	2	2	1&&2
r8.way.n.07665	5	6	7	5
r8.way.n.07666	45	45	1	46
r8.way.n.07667	45	45	1	46
r8.way.n.07668	6	6	7	5
r8.way.n.07669	45	45	1	46
r8.way.n.07670	8	8	6	6&&8
r8.way.n.07671	2	2	1	2
r8.way.n.07672	47	6	9	9
r8.way.n.07673	1	1	1	1
r8.way.n.07674	1	1	1	1
r8.way.n.07675	45	45	45	45
r8.way.n.07676	2	2	2	2
r8.way.n.07677	1	2	1	1
r8.way.n.07678	7	6	7	7
r8.way.n.07679	1	1	4	1
r8.way.n.07680	1	1	1	1
r8.way.n.07681	1	1	1	1
r8.way.n.07683	1	1	1	1
r8.way.n.07684	1	2	1	1
r8.way.n.07685	1	2	1	1
r8.way.n.07686	1	1	1	2
r8.way.n.07687	5	3	6	7
r8.way.n.07688	2	2	1	2
r8.way.n.07689	1	11	11	11
r8.way.n.07690	2	1	1	1
r8.way.n.07691	2	2	1	2
r8.way.n.07692	1	2	1	1
r8.way.n.07693	3	3	3	3
r8.way.n.07694	1	1	1	1
r8.way.n.07695	5	5	1	5
r8.way.n.07696	5	5	1	5
r8.way.n.07697	1	2	1	1
r8.way.n.07698	1	2	1	2
r8.way.n.07699	2	2	1	2
r8.way.n.07700	2	2	2	2
r8.way.n.07702	1	1	1	1
r8.way.n.07709	2	2	2	2
r8.way.n.07719	10	10	10	10
r8.way.n.07720	1	1	4	1
r8.way.n.07734	9	6	9	9
r8.way.n.07740	1	1	1	1
r8.way.n.07790	1	1	4	1
r8.way.n.07801	2	2	2	2
r8.way.n.07806	1	5	5	5
r8.way.n.07812	1	2	1	1
r8.way.n.07825	1	2	1	2
r8.way.n.07900	1	1	1	1
r8.way.n.07906	1	1	1	1
r8.way.n.07920	5	6	6	5
r8.way.n.07938	1	2	1	1
r8.way.n.07948	3	6	7	7
r8.way.n.07959	1	1	1	1
r8.way.n.07968	47	47	47	47
r8.way.n.07972	1	1	1	1
r8.way.n.07974	1	1	1	1
r8.way.n.08008	1	2	1	1
r8.way.n.08010	1	1	5	5
r8.way.n.08011	47	47	47	47
r8.way.n.08017	1	11	11	11
r8.way.n.08023	2	2	2	2
r8.way.n.08027	1	1	1	1
r8.way.n.08041	1	1	1	1
r8.way.n.08043	1	2	1	1
r8.way.n.08085	1	1	5	1&&4
r8.way.n.08093	5	5	6	6
r8.way.n.08120	1	2	1	1
r8.way.n.08164	2	2	1	2
r8.way.n.08176	45	45	5	46
r8.way.n.08197	1	1	1	1
r8.way.n.08234	1	1	1	1
r8.way.n.08242	2	2	2	2
r8.way.n.08247	1	1	1	1
r8.way.n.08283	1	1	1	1
r8.way.n.08315	1	1	1	1
r8.way.n.08355	2	1	1	1
r8.way.n.08357	2	2	1	2
r8.way.n.08376	1	1	1	1
r8.way.n.08403	3	6	6	7
r8.way.n.08409	5	6	8	7
r8.way.n.08411	7	6	7	6&&7
r8.way.n.08412	7	6	6	6&&7
r8.way.n.08422	2	2	2	2
r8.way.n.08423	3	10	1	5&&7
