	101	102	111	113
r6.win.v.06507	1	1	1	1
r6.win.v.06526	1	1	2	1&&2
r6.win.v.06527	1	1	1	1
r6.win.v.06533	1	1	1	1
r6.win.v.06536	1	1	2	1&&2
r6.win.v.06539	2	47	5	2
r6.win.v.06543	1	1	1	1
r6.win.v.06551	1	1	1	1
r6.win.v.06554	1	1	1	1
r6.win.v.06556	1	1	1	1
r6.win.v.06558	1	1	2	1&&2
r6.win.v.06562	1	1	1	1
r6.win.v.06563	1	1	2	1
r6.win.v.06566	1	1	1	1
r6.win.v.06567	1	1	3	1
r6.win.v.06570	1	1	1	1
r6.win.v.06576	1	1	1	1
r6.win.v.06578	1	1	1	1
r6.win.v.06579	1	1	2	1
r6.win.v.06583	1	1	1	1
r6.win.v.06593	1	1	1	1
r6.win.v.06598	1	1	1	1
r6.win.v.06600	1	1	1	1
r6.win.v.06609	1	1	1	3
r6.win.v.06610	1	1	2	1
r6.win.v.06619	1	1	1	1
r6.win.v.06624	1	1	1	1&&2
r6.win.v.06629	4	1	1	1
r6.win.v.06630	1	1	1	1
r6.win.v.06632	1	1	1	1
r6.win.v.06637	1	1	1	1
r6.win.v.06645	1	1	2	1&&2
r6.win.v.06646	1	1	1	1
r6.win.v.06650	45	1	1	47
r6.win.v.06651	1	1	1	1
r6.win.v.06665	1	1	1	1
r6.win.v.06666	1	1	1	1
r6.win.v.06673	1	1	1	1
r6.win.v.06674	1	1	1	1
r6.win.v.06675	1	1	1	1
r6.win.v.06679	1	1	1	1
r6.win.v.06680	1	1	1	1
r6.win.v.06685	1	1	2	1
r6.win.v.06695	1	1	1	1
r6.win.v.06697	1	1	1	1
r6.win.v.06698	1	1	1	1
r6.win.v.06699	1	1	1	1
r6.win.v.06700	1	1	1	1
r6.win.v.06702	1	1	1	1
r6.win.v.06709	1	1	1	1
r6.win.v.06710	1	1	1	1
r6.win.v.06737	1	1	1	1
r6.win.v.06738	1	1	1	1
r6.win.v.06768	1	1	2	2
r6.win.v.06772	1	1	5	2
r6.win.v.06783	1	1	2	1
r6.win.v.06787	2	5	5	5
r6.win.v.06810	1	1	1	1
r6.win.v.06827	1	1	2	1&&2
r6.win.v.06908	1	1	1	1
r6.win.v.06916	1	1	1	1
r6.win.v.06917	1	1	1	1&&4
r6.win.v.06937	1	1	1	1
r6.win.v.06968	1	1	1	1&&4
r6.win.v.06974	1	1	2	1&&2
r6.win.v.06977	1	1	2	1
r6.win.v.06980	5	2	5	5
r6.win.v.06987	1	1	2	1&&5
r6.win.v.07003	1	1	1	1
r6.win.v.07004	1	1	1	1
r6.win.v.07015	1	1	1	1&&4
r6.win.v.07038	45	45	5	45
r6.win.v.07043	1	1	1	1
r6.win.v.07044	1	1	3	2
r6.win.v.07059	1	1	2	1
r6.win.v.07088	2	1	2	1&&2
r6.win.v.07137	1	1	1	1
r6.win.v.07153	4	1	1	4
r6.win.v.07167	1	1	1	1
r6.win.v.07180	1	1	1	1
r6.win.v.07185	1	1	2	2&&5
r6.win.v.07187	1	1	1	1
r6.win.v.07191	2	1	2	1&&2
r6.win.v.07197	2	1	2	1&&2
r6.win.v.07200	1	1	3	2
r6.win.v.07203	1	1	1	1
r6.win.v.07213	1	1	1	1
r6.win.v.07216	1	1	1	1
r6.win.v.07220	1	1	1	1
r6.win.v.07221	1	1	1	1
r6.win.v.07223	5	1	5	5
r6.win.v.07229	5	5	5	2
r6.win.v.07248	1	1	2	1
r6.win.v.07249	1	1	1	1
r6.win.v.07252	5	2	5	2
r6.win.v.07253	1	1	1	1
r6.win.v.07255	1	1	1	1
r6.win.v.07256	1	1	2	1&&2
r6.win.v.07261	1	47	5	2
r6.win.v.07264	1	1	5	1
