	101	102	111	113
r6.window.n.07282	1	1	1	1
r6.window.n.07286	1	1	1	1
r6.window.n.07287	1	1	1	1
r6.window.n.07288	1	1	1	1
r6.window.n.07297	1	1	1	1
r6.window.n.07305	1	1	1	1
r6.window.n.07306	1	1	1	1
r6.window.n.07316	1	1	1	1
r6.window.n.07318	1	1	1	1
r6.window.n.07382	1	1	1	1
r6.window.n.07402	1	1	1	1
r6.window.n.07412	1	1	1	1
r6.window.n.07455	45	45	46	46
r6.window.n.07468	2	1	2	2
r6.window.n.07497	1	1	1	1
r6.window.n.07501	1	1	1	1
r6.window.n.07505	45	45	46	46
r6.window.n.07507	45	45	46	46
r6.window.n.07510	45	45	46	46
r6.window.n.07514	1	1	6	1
r6.window.n.07515	45	45	46	46
r6.window.n.07522	2	6	2	2
r6.window.n.07527	45	45	46	46
r6.window.n.07528	45	45	46	46
r6.window.n.07529	45	45	46	46
r6.window.n.07533	45	45	46	46
r6.window.n.07536	45	45	46	46
r6.window.n.07537	45	45	46	46
r6.window.n.07541	45	45	46	46
r6.window.n.07544	45	45	46	46
r6.window.n.07546	1	6	1	1
r6.window.n.07548	1	1	2	1
r6.window.n.07554	1	1	1	47
r6.window.n.07557	1	1	1	44
r6.window.n.07559	1	1	1	1
r6.window.n.07560	1	1	1	1
r6.window.n.07567	45	45	46	46
r6.window.n.07568	45	45	46	46
r6.window.n.07574	1	1	1	1
r6.window.n.07575	6	6	1	1
r6.window.n.07579	2	2	2	2
r6.window.n.07581	47	1	1	47
r6.window.n.07586	45	45	46	46
r6.window.n.07589	45	45	46	46
r6.window.n.07590	45	45	46	46
r6.window.n.07594	1	6	6	1
r6.window.n.07601	45	45	46	46
r6.window.n.07606	45	45	46	46
r6.window.n.07607	45	45	46	46
r6.window.n.07608	8	8	8	8
r6.window.n.07609	1	1	5	1
r6.window.n.07611	1	1	1	1
r6.window.n.07612	45	45	46	46
r6.window.n.07613	1	1	1	1
r6.window.n.07615	1	6	1	1
r6.window.n.07617	1	1	1	1
r6.window.n.07627	1	1	1	1
r6.window.n.07629	6	6	1	1
r6.window.n.07635	1	4	4	4
r6.window.n.07637	1	4	4	4
r6.window.n.07641	1	1	1	1
r6.window.n.07644	1	1	1	1
r6.window.n.07647	1	6	1	1
r6.window.n.07649	1	1	1	1
r6.window.n.07654	1	6	1	1
r6.window.n.07675	8	8	8	8
r6.window.n.07683	8	8	8	8
r6.window.n.07707	5	5	5	5
r6.window.n.07733	4	5	8	46
r6.window.n.07734	4	5	4	46
r6.window.n.07736	4	5	8	46
r6.window.n.07737	4	5	8	46
r6.window.n.07755	45	45	46	46
r6.window.n.07757	4	5	4	46
r6.window.n.07765	4	5	5	46
r6.window.n.07770	4	5	5	5
r6.window.n.07778	45	45	46	46
r6.window.n.07793	45	45	46	46
r6.window.n.07802	1	1	1	1
r6.window.n.07810	4	8	8	8
r6.window.n.07817	45	45	46	46
r6.window.n.07820	45	45	46	46
r6.window.n.07821	45	45	46	46
r6.window.n.07822	5	5	5	5
r6.window.n.07827	45	45	46	46
r6.window.n.07828	1	1	1	1
r6.window.n.07840	4	5	5	46
r6.window.n.07912	45	45	46	46
r6.window.n.07913	4	5	5	5
r6.window.n.07916	1	1	1	1
r6.window.n.07925	1	1	1	1
r6.window.n.07982	1	6	1	1
r6.window.n.07987	1	1	1	1
r6.window.n.07992	1	1	1	1
r6.window.n.07994	1	1	1	1
r6.window.n.08018	1	1	1	1
r6.window.n.08044	1	1	1	1
r6.window.n.08072	1	1	1	1
r6.window.n.08073	1	1	1	1
