	107	111	113
r5.write.v.09025	2	1	3
r5.write.v.09026	2	1	46
r5.write.v.09036	1	1	1
r5.write.v.09058	2	2	2
r5.write.v.09070	1	1	1
r5.write.v.09074	3	3	1
r5.write.v.09082	4	1	1
r5.write.v.09093	1	1	2
r5.write.v.09097	2	2	5
r5.write.v.09102	1	1	1&&2
r5.write.v.09105	47	2	5
r5.write.v.09107	1	1	1
r5.write.v.09113	1	1	1
r5.write.v.09114	5	2	5
r5.write.v.09120	2	1	45
r5.write.v.09137	2	1	2
r5.write.v.09195	3	2	3
r5.write.v.09200	3	2	3
r5.write.v.09203	1	1	1
r5.write.v.09210	3	3	3
r5.write.v.09214	5	2	1&&5
r5.write.v.09241	3	2	3
r5.write.v.09269	1	1	1
r5.write.v.09307	47	2	47
r5.write.v.09332	47	2	5
r5.write.v.09339	4	1	4
r5.write.v.09347	45	45	45
r5.write.v.09350	45	2	45
r5.write.v.09367	2	3	2&&3
r5.write.v.09376	1	2	5
r5.write.v.09381	1	1	1
r5.write.v.09382	2	2	2
r5.write.v.09395	2	2	2
r5.write.v.09400	8	8	8
r5.write.v.09405	5	45	45
r5.write.v.09407	1	1	1
r5.write.v.09412	2	2	2
r5.write.v.09415	2	2	2
r5.write.v.09417	1	1	1
r5.write.v.09424	2	1	2
r5.write.v.09435	1	1	1
r5.write.v.09489	5	45	47
r5.write.v.09500	1	1	2
r5.write.v.09508	1	3	1
r5.write.v.09515	1	2	2
r5.write.v.09525	2	1	2
r5.write.v.09539	1	1	1
r5.write.v.09561	3	3	3
r5.write.v.09563	2	2	2
r5.write.v.09580	3	3	3
r5.write.v.09595	5	45	45
r5.write.v.09597	4	1	4
r5.write.v.09603	4	1	4
r5.write.v.09605	1	1	1
r5.write.v.09616	2	1	2
r5.write.v.09617	1	1	2
r5.write.v.09628	1	1	1
r5.write.v.09634	2	2	1
r5.write.v.09635	1	1	1
r5.write.v.09636	2	2	2
r5.write.v.09640	2	1	2
r5.write.v.09644	1	1	1
r5.write.v.09655	1	1	1
r5.write.v.09666	1	1	1
r5.write.v.09674	1	1	1
r5.write.v.09697	1	45	45
r5.write.v.09705	2	1	2
r5.write.v.09706	2	2	2
r5.write.v.09709	1	1	1
r5.write.v.09713	5	5	45
r5.write.v.09720	7	5	5
r5.write.v.09725	5	2	45
r5.write.v.09726	2	1	2
r5.write.v.09732	2	2	2
r5.write.v.09735	2	1	1&&2
r5.write.v.09737	2	1	2
r5.write.v.09752	3	3	2&&3
r5.write.v.09756	3	2	3
r5.write.v.09772	1	1	1
r5.write.v.09778	1	1	1
r5.write.v.09796	7	5	5
r5.write.v.09833	5	2	45
r5.write.v.09849	5	45	45
r5.write.v.09894	3	3	46
r5.write.v.09909	7	5	7
r5.write.v.09912	5	1	45
r5.write.v.09913	5	45	45
r5.write.v.09926	5	45	45
r5.write.v.09941	1	2	45
r5.write.v.09946	47	2	5
r5.write.v.09953	1	1	1
r5.write.v.09967	1	1	1
r5.write.v.09994	7	2	7
r5.write.v.09995	1	1	1
r5.write.v.10000	1	1	1
r5.write.v.10005	1	1	1
r5.write.v.10006	1	1	1
r5.write.v.10009	7	5	7
