"Шикарный комп, доволен на все 200% брал в основном для ks go, на высоких 170-200 фпс, поставил средние теперь под 300 фпс стабильно, оперативы на 8 вполне хватает, единственное в будущем поставлю ссд, а так просто самолёт, берите смело.","Цена, качество",Нет,5
"Да, я заново пишу отзыв но только для того чтобы сказать что внутри компа. Процессор - intel core i3 9100f Видеокарта - Asus GeForce GTX 1050ti PHOENIX 4gb Мат.плата - Asus h310m r-r2.0 Блок питания - gamemax 500v Корпус - gamemax mt-520fan Кулеры gamemax gmx af12-b (2шт) Кулер chieftek d12sl (1шт) Жесткий диск - Seagate Barracuda 1tb Оперативная память - ноунейм на 8гб ддр4  Ну вроде все","Оправдывает свою сумму,в играх тянет больше сотки на макс, 3 порта usb 3.0, есть подсветка на кулерах а именно лента",нет,5
"Доволен , качественный товар .",,,5
"Дуже добре показує себе в роботі , приємниа синя підставка .","Хороше охолодження , материка і відеокарта від MSI",-,5
"Изначально присмотрелся из-за своей относительно небольшой цены и отличных характеристик. Intel i3 на Coffe Lake, который стоит в этом Пк отлично показал себя в тестах вместе с GTX 1050 Ti. Корпус стильный, на кулерах есть синяя подсветка.  Так как компьютер покупался под большинство современных игр, поделюсь тестами некоторых из них: В PUBG можно спокойно играть на низких/средних настройках и в full hd разрешении при стабильных 60-80 фпс. Battlefield 1 на тех же низких/средних настройках не нагружал фпс ниже 60 кадров (при игре на сервере с 64 игроками) Те же Dota 2, CS:GO и WoT спокойно идут на ультрах не ниже 60 фпс.  Доставили компьютер за 3 дня, что не может не радовать. Покупкой полностью доволен!Рекомендую.","Отлично показывает себя в работе, тихий и мощный, отличное соотношение цена/качевство",Немного не повезло и попался бюджетный вариант видеокарты от Asus GTX 1050 Ti Phoenix,5
"Есть один волнующий вопрос, как часто нужно его чистить и как это делать если он на гарантии?",,,5
"Взяли в основном для игр и очень довольны, Cs, wot и т.п. на максималках просто супер. Быстро загружается, тихо работает.","Быстрый, тихий, отлично тянет игры",Не заметили,5
"Комп огонь, юзаю уже 2й день пока нареканий нет. Все устраивает, ФПС на ультра в World of Tanks 80-90.","Тихий, внешне не большой.",Не обнаружил,5
"Прошу дать информацию по поводу оперативной памяти. Какая конкретно планка стоит в данном ПК? Я пол года назад приобрел данный ПК только в другом корпусе тогда был, хочу добавить ещё одну планку на 8 гб. Хотелось бы именно такую же что бы не конфликтовала мать! Напишите производителя либо дайте ссылку на данную память. За ранее спасибо!","Хорошая сборка, превзошла ожидания!","Мало 8 гб озу, 16 было бы в самый раз!",5
Задоволений!,,,5
"Довольно простой, лёгкий на первый взгляд. Кажется что по весу когда берешь в руки, такое чувство что будто ничего и нету в руках, тихий без лишних шумов, есть гарантия на данный товар, все в комплекте, тянет хорошо, можно поиграть в довольно таки не плохие игрушки,есть еще плюс того что продувает не только сзади и сбоку еще и спереди. Так сказать летом можно и вентилятор не ставить в комнате, пк охладит её:), без лишних затрат доволен покупкой . Спасибо!","Цена, Качество, надёжность",нету,5
,,,5
"Купила данный компьютер сыну, около месяца назад и осталась очень довольна. Сын говорить что компьютер тянет все игры и программы, большое спасибо Розетке за качественное обслуживание!","Быстродействие, бесшумность, хорошо показывает себя в играх, красивый корпус.",Недостатков нет,5
"Купила детям - они очень довольны, все игры тянет, с которыми предшественник не справлялся. Несколько месяцев работает без проблем",,,5
"Нормальный пк,звезд с неба не хватает но стоит своих денег","Тихий,много USB портов","Оператива 1 планкой,Одновентеляторная видеокарта",4
Сколько фпс в кс го?,,,5
Сколько кулеров на видеокарте и от какой компании?,,,5
А какой у него процессор ???,,,4
"Подключил монитор к ПК, не выводит картинку. Через ПЕРЕХОДНИК HDMI TO VGA тоже не выводит картинку, что делать ? Пк работает и монитор рабочий .",Не выводит картинку на монитор,Не выводит картинку на монитор,3
Подскажите в данной модели есть блутуз?,,,5
Круто,Зручно,,5
"условия отплаты на 10 месяцев, взял и плачу 2140 в месяц, все игры на максималках(ультрах) очень доволен. танки 130-170 фпс, зависит от карты. ведьмак все на максималках. рекомендую брать, у кого до этого было слабое железо и не менялось как у меня 8 лет(ноут)","мощь, условия оплаты",ну нету,5
Годная тачка для работы. Однозначно рекомендую!,,,5
"Вопрос по кредиту от ПУМБ. Что бы взять 10 платежей и не напрягаясь спокойно его закрыть через 2-3 месяца, нужно иметь карту в банке? Или как происходит процедура?",Цена качество,Не обнаружил,5
"Отличный пк,игры летают,metro на максимальных!!!я довольный Нужен совет,стоит ли покупать к нему ИБП?если да то какой,до этого был ноут,чуть отстал с технологиями.","Отличная сборка.тихий ,мощный.мечта сбылась)",Нету!,5
"Все работает , полёт нормальный",Качество сборки,,5
"Все, як заявлено на сайті прийшло. Даже є бонус, блок живлення на 800, а не 600. Дякую",,,5
"Вчера получил. Отличный ПК.Не греется,очень тихо работает.Производительный. Протестировал в парочке игрушек ( Witcher 3 + HD textures,Shadow of the Tomb Rider,Dark Souls 3).Все без проблем вытягивает на максимальных настройках графики в 60+ fps без просадок и фризов.Посмотрим как покажет себя дальше,но на данный момент все отлично",,,5
Компьютер отвечает по всем параметрам цена-качество. БЕРИТЕ и порадуйте себя наконец то.,"Тишина, мини тавер (занимает очень мало места)",Не обнаружил,5
"В целом сборка устраивает. Жаль, что невозможно отключить подсветку. Хотя у некоторых есть для этого специальная кнопка на корпусе","БП мощнее, чем был в описании (не 600, а 800)",Подсветка,5
Питання до виробника. Якої версії потрібен hdmi кабель?,"Тихий, компактний.",Поки що немає,5
"Metro Exodus (высокие), Pubg (высокие), Forza 4 (высокие), Far Cry 5 (Максимальные, проц грузит почти под 100% но лагов не было замечено). Комп включается за 15 секунд. Файл на 50 гиг удаляет за 0.5 секунд. ССД рулит ))","Для современных игр на высоких настройках графики хороший комп, 4 гига видухи хватает с запасом!",LED кулеры со временем напрягают (без подсветки было бы лучше),5
"Ребята, спасибо огромное. Уже 2 неделю пользуюсь этой сборкой и не могу нарадоваться. Эта сборка может уделать i5 . Всем советую, компьютер оправдывает каждую вложенную копейку. Да и дизайн не елка и вполне гармоничен. Система охлаждения справляется с задачей и шум не напрягает",Низкая цена;Комплектация;Дизайн;Производительность;,Отсутствуют,5
"Всем довольны,игры онлайн тянет,люмион 8 отлично работает.Шустрый компьютер получился за эту цену. Долго выбирали и не пожелали о своем выборе.","Гарантия три года,","Сильно лёгкий корпус,можно с лёгкостью скинуть со стола",5
"Отличный пк за свои деньги. Тянет все на максималках, очень быстрый за счёт ssd и 16гб оперативы. Единственный минус это видеокарта феникс с одним куллером, греется до 70, но в целом по производительности все очень даже хорошо!","Цена, скорость работы, внешний вид",,5
Шустрый и безшумный компьютер,Шустрый и безшумный,Нет,5
,,,5
"Товар прибыл очень быстро, товар качественный и я этому рад. Сотрудники быстро реагировали на обращения через почтовый ящик. очень доволен, спасибо огромное. теперь буду покупать у вас.","Цена, качество, скорость.",Не нашел.,4
