"uri","band_name","member_name","former_member_name","hometown_name","year"
"http://dbpedia.org/resource/The_Monkees","The Monkees","Micky Dolenz","Davy Jones (musician)","Los Angeles",1965
"http://dbpedia.org/resource/The_Monkees","The Monkees","Micky Dolenz","Michael Nesmith","Los Angeles",1965
"http://dbpedia.org/resource/The_Monkees","The Monkees","Peter Tork","Davy Jones (musician)","Los Angeles",1965
"http://dbpedia.org/resource/The_Monkees","The Monkees","Peter Tork","Michael Nesmith","Los Angeles",1965
"http://dbpedia.org/resource/Television_(band)","Television (band)","Fred Smith (bassist)","Richard Lloyd (guitarist)","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Fred Smith (bassist)","Richard Hell","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Tom Verlaine","Richard Lloyd (guitarist)","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Tom Verlaine","Richard Hell","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Jimmy Rip","Richard Lloyd (guitarist)","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Jimmy Rip","Richard Hell","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Billy Ficca","Richard Hell","New York City",1973
"http://dbpedia.org/resource/Television_(band)","Television (band)","Billy Ficca","Richard Lloyd (guitarist)","New York City",1973
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Mick Jagger","Mick Taylor",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Mick Jagger","Bill Wyman",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Mick Jagger","Ian Stewart (musician)",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Mick Jagger","Brian Jones",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Keith Richards","Ian Stewart (musician)",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Keith Richards","Brian Jones",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Keith Richards","Bill Wyman",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Keith Richards","Mick Taylor",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Ronnie Wood","Ian Stewart (musician)",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Ronnie Wood","Brian Jones",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Ronnie Wood","Bill Wyman",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Ronnie Wood","Mick Taylor",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Charlie Watts","Brian Jones",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Charlie Watts","Mick Taylor",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Charlie Watts","Bill Wyman",,
"http://dbpedia.org/resource/The_Rolling_Stones","The Rolling Stones","Charlie Watts","Ian Stewart (musician)",,
"http://dbpedia.org/resource/X_(American_band)","X (American band)","Billy Zoom","Dave Alvin","Los Angeles",1977
"http://dbpedia.org/resource/X_(American_band)","X (American band)","Billy Zoom","Tony Gilkyson","Los Angeles",1977
"http://dbpedia.org/resource/Tommy_James_and_the_Shondells","Tommy James and the Shondells","Soul Solution (band)","Don Ciccone","Niles, Michigan",1959
"http://dbpedia.org/resource/X_(American_band)","X (American band)","Exene Cervenka","Dave Alvin","Los Angeles",1977
