"uri","name"
"http://dbpedia.org/resource/Eunice_Kennedy_Shriver","Eunice Kennedy Shriver"
"http://dbpedia.org/resource/Frederick_Seitz","Frederick Seitz"
"http://dbpedia.org/resource/Robert_Tarjan","Robert Tarjan"
"http://dbpedia.org/resource/Sandra_Day_O'Connor","Sandra Day O'Connor"
"http://dbpedia.org/resource/Vint_Cerf","Vint Cerf"
"http://dbpedia.org/resource/Akhil_Sharma","Akhil Sharma"
"http://dbpedia.org/resource/Chris_Clark_(politician)","Chris Clark (politician)"
"http://dbpedia.org/resource/Paul_Fannin","Paul Fannin"
"http://dbpedia.org/resource/Albert_Jacquard","Albert Jacquard"
"http://dbpedia.org/resource/Alfred_J._Eggers","Alfred J. Eggers"
"http://dbpedia.org/resource/Ali_Al-Naimi","Ali Al-Naimi"
"http://dbpedia.org/resource/Bipan_Chandra","Bipan Chandra"
"http://dbpedia.org/resource/Edgar_Schein","Edgar Schein"
"http://dbpedia.org/resource/Frederick_Terman","Frederick Terman"
"http://dbpedia.org/resource/Hamer_H._Budge","Hamer H. Budge"
"http://dbpedia.org/resource/Henry_F._Schaefer,_III","Henry F. Schaefer, III"
"http://dbpedia.org/resource/Jeremy_Fogel","Jeremy Fogel"
"http://dbpedia.org/resource/Nadir_Godrej","Nadir Godrej"
"http://dbpedia.org/resource/Niels_Helveg_Petersen","Niels Helveg Petersen"
"http://dbpedia.org/resource/Paul_Milgrom","Paul Milgrom"
"http://dbpedia.org/resource/Robert_Griffiths_(physicist)","Robert Griffiths (physicist)"
"http://dbpedia.org/resource/Rodrigue_Tremblay","Rodrigue Tremblay"
"http://dbpedia.org/resource/Susan_Schwab","Susan Schwab"
"http://dbpedia.org/resource/Wilmatte_Porter_Cockerell","Wilmatte Porter Cockerell"
"http://dbpedia.org/resource/David_B._Ashley","David B. Ashley"
"http://dbpedia.org/resource/Ali_H._Nayfeh","Ali H. Nayfeh"
"http://dbpedia.org/resource/Andy_Berke","Andy Berke"
"http://dbpedia.org/resource/Brad_Krevoy","Brad Krevoy"
"http://dbpedia.org/resource/David_Allais","David Allais"
"http://dbpedia.org/resource/David_Campos","David Campos"
"http://dbpedia.org/resource/Heidi_W._Durrow","Heidi W. Durrow"
"http://dbpedia.org/resource/Justin_P._Wilson","Justin P. Wilson"
"http://dbpedia.org/resource/Lee_Swindlehurst","Lee Swindlehurst"
"http://dbpedia.org/resource/Mark_Coggins","Mark Coggins"
"http://dbpedia.org/resource/Paola_Gianturco","Paola Gianturco"
"http://dbpedia.org/resource/Peter_S._Kim","Peter S. Kim"
"http://dbpedia.org/resource/Sam_Altman","Sam Altman"
"http://dbpedia.org/resource/Amy_Biehl","Amy Biehl"
"http://dbpedia.org/resource/Bill_Dally","Bill Dally"
"http://dbpedia.org/resource/Daniel_Berdichevsky","Daniel Berdichevsky"
"http://dbpedia.org/resource/Daniel_Sigman","Daniel Sigman"
"http://dbpedia.org/resource/Darrell_Duffie","Darrell Duffie"
"http://dbpedia.org/resource/James_Townsend_(psychologist)","James Townsend (psychologist)"
"http://dbpedia.org/resource/Jonathan_Levin_(economist)","Jonathan Levin (economist)"
"http://dbpedia.org/resource/Mark_McMenamin","Mark McMenamin"
"http://dbpedia.org/resource/Michael_Haas_(political_scientist)","Michael Haas (political scientist)"
"http://dbpedia.org/resource/Patrick_Shea_(Utah_lawyer)","Patrick Shea (Utah lawyer)"
"http://dbpedia.org/resource/Radka_Donnell","Radka Donnell"
"http://dbpedia.org/resource/Robert_A._Scholtz","Robert A. Scholtz"
"http://dbpedia.org/resource/Rodney_O'Gliasain_Kennedy-Minott","Rodney O'Gliasain Kennedy-Minott"
"http://dbpedia.org/resource/Thomas_L._Magnanti","Thomas L. Magnanti"
"http://dbpedia.org/resource/Vincent_Price_(educator)","Vincent Price (educator)"
"http://dbpedia.org/resource/Dixy_Lee_Ray","Dixy Lee Ray"
"http://dbpedia.org/resource/Francine_Patterson","Francine Patterson"
"http://dbpedia.org/resource/John_Van_Denburgh","John Van Denburgh"
"http://dbpedia.org/resource/Reed_Hastings","Reed Hastings"
"http://dbpedia.org/resource/Robert_Sternberg","Robert Sternberg"
"http://dbpedia.org/resource/Rodney_Brooks","Rodney Brooks"
"http://dbpedia.org/resource/Brian_Acton","Brian Acton"
"http://dbpedia.org/resource/Oussama_Khatib","Oussama Khatib"
"http://dbpedia.org/resource/Alfred_Lutter","Alfred Lutter"
"http://dbpedia.org/resource/Robert_T._Tobin","Robert T. Tobin"
"http://dbpedia.org/resource/Samuel_Armacost","Samuel Armacost"
"http://dbpedia.org/resource/Victor_Velculescu","Victor Velculescu"
"http://dbpedia.org/resource/James_D._Hart","James D. Hart"
"http://dbpedia.org/resource/Donald_J._Grace","Donald J. Grace"
"http://dbpedia.org/resource/Eric_J._Boswell","Eric J. Boswell"
"http://dbpedia.org/resource/Genevieve_Bell","Genevieve Bell"
"http://dbpedia.org/resource/James_M._Stevens","James M. Stevens"
"http://dbpedia.org/resource/Mark_T._Carleton","Mark T. Carleton"
"http://dbpedia.org/resource/Monica_Márquez","Monica Márquez"
"http://dbpedia.org/resource/Charles_Ogletree","Charles Ogletree"
"http://dbpedia.org/resource/James_Stewart_(mathematician)","James Stewart (mathematician)"
"http://dbpedia.org/resource/Timothy_C._Draper","Timothy C. Draper"
"http://dbpedia.org/resource/Angie_Paccione","Angie Paccione"
"http://dbpedia.org/resource/Charles_Reis_Felix","Charles Reis Felix"
"http://dbpedia.org/resource/Hanna_Rosin","Hanna Rosin"
"http://dbpedia.org/resource/James_D._Hollan","James D. Hollan"
"http://dbpedia.org/resource/Neal_E._Miller","Neal E. Miller"
"http://dbpedia.org/resource/David_H._Bailey","David H. Bailey"
"http://dbpedia.org/resource/Ted_Lieu","Ted Lieu"
"http://dbpedia.org/resource/Dennis_Hwang","Dennis Hwang"
"http://dbpedia.org/resource/Donald_Pederson","Donald Pederson"
