"uri","name"
"http://dbpedia.org/resource/George_Steinmetz","George Steinmetz"
"http://dbpedia.org/resource/Isabelle_Fuhrman","Isabelle Fuhrman"
"http://dbpedia.org/resource/Ralph_Richard_Banks","Ralph Richard Banks"
"http://dbpedia.org/resource/Evan_Spiegel","Evan Spiegel"
"http://dbpedia.org/resource/Joshua_Prager_(doctor)","Joshua Prager (doctor)"
"http://dbpedia.org/resource/Harry_Dexter_White","Harry Dexter White"
"http://dbpedia.org/resource/Robert_X._Cringely","Robert X. Cringely"
"http://dbpedia.org/resource/Dwight_Locke_Wilbur","Dwight Locke Wilbur"
"http://dbpedia.org/resource/Martin_Cohan","Martin Cohan"
"http://dbpedia.org/resource/Steven_R._David","Steven R. David"
"http://dbpedia.org/resource/Eleanor_Gates","Eleanor Gates"
"http://dbpedia.org/resource/Eric_Weiner","Eric Weiner"
"http://dbpedia.org/resource/Ron_Johnson_(businessman)","Ron Johnson (businessman)"
"http://dbpedia.org/resource/David_M._Halperin","David M. Halperin"
"http://dbpedia.org/resource/Stefan_Halper","Stefan Halper"
"http://dbpedia.org/resource/Theodore_C._Bestor","Theodore C. Bestor"
"http://dbpedia.org/resource/Harry_Reasoner","Harry Reasoner"
"http://dbpedia.org/resource/Marty_Kaplan","Marty Kaplan"
"http://dbpedia.org/resource/Peter_Kogge","Peter Kogge"
"http://dbpedia.org/resource/Roger_von_Oech","Roger von Oech"
"http://dbpedia.org/resource/Tyler_Bridges","Tyler Bridges"
"http://dbpedia.org/resource/Harry_Garland","Harry Garland"
"http://dbpedia.org/resource/Malcolm_CasSelle","Malcolm CasSelle"
"http://dbpedia.org/resource/Stan_Kugell","Stan Kugell"
"http://dbpedia.org/resource/George_H._Hume","George H. Hume"
"http://dbpedia.org/resource/Leslie_P._Hume","Leslie P. Hume"
"http://dbpedia.org/resource/Scott_D._Anderson","Scott D. Anderson"
"http://dbpedia.org/resource/Lisa_Falzone","Lisa Falzone"
"http://dbpedia.org/resource/Mary_Loveless","Mary Loveless"
"http://dbpedia.org/resource/Samantha_Larson","Samantha Larson"
"http://dbpedia.org/resource/Belmiro_de_Azevedo","Belmiro de Azevedo"
"http://dbpedia.org/resource/Paulo_Pinheiro","Paulo Pinheiro"
"http://dbpedia.org/resource/Bret_Taylor","Bret Taylor"
"http://dbpedia.org/resource/Matt_Barrie","Matt Barrie"
"http://dbpedia.org/resource/Paul_Waldau","Paul Waldau"
"http://dbpedia.org/resource/Rich_Benjamin","Rich Benjamin"
"http://dbpedia.org/resource/Jonathan_Holloway_(historian)","Jonathan Holloway (historian)"
"http://dbpedia.org/resource/Mae_Brussell","Mae Brussell"
"http://dbpedia.org/resource/Len_Shustek","Len Shustek"
"http://dbpedia.org/resource/Ramy_Adeeb","Ramy Adeeb"
"http://dbpedia.org/resource/Gigi_Pritzker","Gigi Pritzker"
"http://dbpedia.org/resource/Jennie_V._Cannon","Jennie V. Cannon"
"http://dbpedia.org/resource/Jim_Chu_(entrepreneur)","Jim Chu (entrepreneur)"
"http://dbpedia.org/resource/Bob_Bowdon","Bob Bowdon"
"http://dbpedia.org/resource/Alexander_Asseily","Alexander Asseily"
"http://dbpedia.org/resource/Jane_Lauder","Jane Lauder"
"http://dbpedia.org/resource/Martha_Feldman","Martha Feldman"
"http://dbpedia.org/resource/Amy_Zegart","Amy Zegart"
"http://dbpedia.org/resource/Charles_H._Tweed","Charles H. Tweed"
"http://dbpedia.org/resource/James_Pinkerton","James Pinkerton"
"http://dbpedia.org/resource/Robert_Livingston_(scientist)","Robert Livingston (scientist)"
"http://dbpedia.org/resource/Sally_Ride","Sally Ride"
"http://dbpedia.org/resource/Vinnie_Politan","Vinnie Politan"
