"uri","name","occupation","city"
"http://dbpedia.org/resource/William_Ouchi","William Ouchi","Author","Honolulu"
"http://dbpedia.org/resource/Mark_T._Carleton","Mark T. Carleton","Historian","Baton Rouge, Louisiana"
"http://dbpedia.org/resource/David_Allais","David Allais","Inventor","Chicago"
"http://dbpedia.org/resource/David_Allais","David Allais","Chairman","Chicago"
"http://dbpedia.org/resource/Mark_T._Carleton","Mark T. Carleton","Professor","Baton Rouge, Louisiana"
"http://dbpedia.org/resource/William_Ouchi","William Ouchi","Professor","Honolulu"
"http://dbpedia.org/resource/Michael_Fincke","Michael Fincke","Flight test engineer","Pittsburgh"
"http://dbpedia.org/resource/Jack_Parsons_(rocket_engineer)","Jack Parsons (rocket engineer)","Aerospace engineering","Los Angeles"
"http://dbpedia.org/resource/David_Allais","David Allais","Chief executive officer","Chicago"
"http://dbpedia.org/resource/Sam_Altman","Sam Altman","Venture capital","Chicago"
"http://dbpedia.org/resource/Mukesh_Ambani","Mukesh Ambani","Reliance Industries","Aden"
"http://dbpedia.org/resource/Sundar_Pichai","Sundar Pichai","Google","Chennai"
"http://dbpedia.org/resource/Thom_Weisel","Thom Weisel","Thomas Weisel Partners","Milwaukee"
"http://dbpedia.org/resource/Allen_Drury","Allen Drury","Novelist","Houston"
"http://dbpedia.org/resource/Vikram_Seth","Vikram Seth","Novelist","Kolkata"
"http://dbpedia.org/resource/Hans_Fränkel","Hans Fränkel","Sinologist","Berlin"
"http://dbpedia.org/resource/John_H._Wilson_(Hawaii)","John H. Wilson (Hawaii)","Civil Engineer","Honolulu"
"http://dbpedia.org/resource/Vikram_Seth","Vikram Seth","Poet","Kolkata"
"http://dbpedia.org/resource/Amy_Biehl","Amy Biehl","Scholar","Santa Monica, California"
"http://dbpedia.org/resource/Thom_Weisel","Thom Weisel","Montgomery Securities","Milwaukee"
"http://dbpedia.org/resource/Hanna_Rosin","Hanna Rosin","Journalist","New York City"
"http://dbpedia.org/resource/David_Campos","David Campos","Politician","Puerto Barrios"
"http://dbpedia.org/resource/Alexander_Payne","Alexander Payne","Screenwriter","Omaha, Nebraska"
"http://dbpedia.org/resource/Hanna_Rosin","Hanna Rosin","Writer","New York City"
"http://dbpedia.org/resource/Paul_G._Cassell","Paul G. Cassell","Legal scholar","Orange, California"
"http://dbpedia.org/resource/John_Jay_O'Connor","John Jay O'Connor","Lawyer","San Francisco"
"http://dbpedia.org/resource/Paul_G._Cassell","Paul G. Cassell","Lawyer","Orange, California"
"http://dbpedia.org/resource/Victor_Grinich","Victor Grinich","Stanford University","Aberdeen, Washington"
"http://dbpedia.org/resource/Joe_Simitian","Joe Simitian","Attorney at law","Palo Alto, California"
"http://dbpedia.org/resource/Victor_Grinich","Victor Grinich","Fairchild Semiconductor","Aberdeen, Washington"
"http://dbpedia.org/resource/Alexander_Payne","Alexander Payne","Film director","Omaha, Nebraska"
"http://dbpedia.org/resource/Alexander_Payne","Alexander Payne","Film producer","Omaha, Nebraska"
"http://dbpedia.org/resource/Timothy_C._Draper","Timothy C. Draper","Managing Director","San Francisco"
"http://dbpedia.org/resource/Roger_Moore_(computer_scientist)","Roger Moore (computer scientist)","Computer scientist","Redlands, California"
"http://dbpedia.org/resource/Chip_Conley","Chip Conley","Fest300","Orange, California"
"http://dbpedia.org/resource/Frank_Cady","Frank Cady","Actor","Susanville, California"
"http://dbpedia.org/resource/Timothy_C._Draper","Timothy C. Draper","Draper Fisher Jurvetson","San Francisco"
"http://dbpedia.org/resource/Salar_Kamangar","Salar Kamangar","Google","Tehran"
"http://dbpedia.org/resource/Sundar_Pichai","Sundar Pichai","Google","Madurai"
"http://dbpedia.org/resource/Trip_Hawkins","Trip Hawkins","Entrepreneur","Pasadena, California"
"http://dbpedia.org/resource/Dennis_Hwang","Dennis Hwang","Graphic artist","Knoxville, Tennessee"
"http://dbpedia.org/resource/Paola_Gianturco","Paola Gianturco","Photojournalist","Urbana, Illinois"
"http://dbpedia.org/resource/Sharon_Olds","Sharon Olds","Poet","San Francisco"
"http://dbpedia.org/resource/Joe_Simitian","Joe Simitian","City Planner","Palo Alto, California"
"http://dbpedia.org/resource/Owen_K._Garriott","Owen K. Garriott","Engineer","Enid, Oklahoma"
"http://dbpedia.org/resource/Guy_Kawasaki","Guy Kawasaki","Apple Fellow","Honolulu"
"http://dbpedia.org/resource/Peter_Dalglish","Peter Dalglish","Afghanistan","London, Ontario"
"http://dbpedia.org/resource/Bradford_Perkins_(architect)","Bradford Perkins (architect)","Architect","Chicago"
"http://dbpedia.org/resource/Delmer_Brown","Delmer Brown","Author","Harrisonville, Missouri"
"http://dbpedia.org/resource/Matthew_Pierce","Matthew Pierce","CEO","Denver"
"http://dbpedia.org/resource/Scott_Turow","Scott Turow","Lawyer","Chicago"
"http://dbpedia.org/resource/Neil_Rimer","Neil Rimer","Index Ventures","Montreal"
"http://dbpedia.org/resource/Phil_Knight","Phil Knight","Nike, Inc.","Portland, Oregon"
"http://dbpedia.org/resource/Paul_Winfield","Paul Winfield","Actor","Los Angeles"
"http://dbpedia.org/resource/Samer_Hamadeh","Samer Hamadeh","Entrepreneur","Fresno, California"
"http://dbpedia.org/resource/Scott_Turow","Scott Turow","Novelist","Chicago"
"http://dbpedia.org/resource/Gretchen_Carlson","Gretchen Carlson","The Real Story (TV program)","Anoka, Minnesota"
"http://dbpedia.org/resource/Dana_Gioia","Dana Gioia","Poet","Hawthorne, California"
