[nlp] ... starting to process items ...
[nlp] ... items processed: 1000 elapsed: 0:00:07.072871
[nlp] ... items processed: 2000 elapsed: 0:00:08.274901
[nlp] ... items processed: 3000 elapsed: 0:00:09.457896
[nlp] ... items processed: 4000 elapsed: 0:00:10.632683
[nlp] ... items processed: 5000 elapsed: 0:00:11.789343
[nlp] ... items processed: 6000 elapsed: 0:00:12.819801
[nlp] ... items processed: 7000 elapsed: 0:00:13.995296
[nlp] ... items processed: 8000 elapsed: 0:00:15.201553
[nlp] ... items processed: 9000 elapsed: 0:00:16.877986
[nlp] ... items processed: 10000 elapsed: 0:00:17.916160
[nlp] ... items processed: 11000 elapsed: 0:00:18.987279
[nlp] ... items processed: 12000 elapsed: 0:00:20.626347
[nlp] ... items processed: 13000 elapsed: 0:00:21.651433
[nlp] ... items processed: 14000 elapsed: 0:00:22.949388
[nlp] ... items processed: 15000 elapsed: 0:00:24.082608
[nlp] ... items processed: 16000 elapsed: 0:00:25.862710
[nlp] ... items processed: 17000 elapsed: 0:00:26.914099
[nlp] ... items processed: 18000 elapsed: 0:00:27.975455
[nlp] ... items processed: 19000 elapsed: 0:00:29.391183
[nlp] ... items processed: 20000 elapsed: 0:00:31.107817
[nlp] ... items processed: 21000 elapsed: 0:00:32.071639
[nlp] ... items processed: 22000 elapsed: 0:00:33.209761
[nlp] ... items processed: 23000 elapsed: 0:00:34.905366
[nlp] ... items processed: 24000 elapsed: 0:00:35.894459
[nlp] ... items processed: 25000 elapsed: 0:00:37.307411
[nlp] ... items processed: 26000 elapsed: 0:00:38.358261
[nlp] ... items processed: 27000 elapsed: 0:00:39.255228
[nlp] ... items processed: 28000 elapsed: 0:00:40.261129
[nlp] ... items processed: 29000 elapsed: 0:00:41.650042
[nlp] ... items processed: 30000 elapsed: 0:00:43.419733
[nlp] ... items processed: 31000 elapsed: 0:00:44.578259
[nlp] ... items processed: 32000 elapsed: 0:00:45.791894
[nlp] ... items processed: 33000 elapsed: 0:00:47.511944
[nlp] ... items processed: 34000 elapsed: 0:00:48.802246
[nlp] ... items processed: 35000 elapsed: 0:00:50.015167
[nlp] ... items processed: 36000 elapsed: 0:00:51.271330
[nlp] ... items processed: 37000 elapsed: 0:00:52.682737
[nlp] ... items processed: 38000 elapsed: 0:00:54.376356
[nlp] ... items processed: 39000 elapsed: 0:00:55.874558
[nlp] ... items processed: 40000 elapsed: 0:00:56.847711
[nlp] ... items processed: 41000 elapsed: 0:00:57.997518
[nlp] ... items processed: 42000 elapsed: 0:00:59.635291
[nlp] ... items processed: 43000 elapsed: 0:01:01.229312
[nlp] ... items processed: 44000 elapsed: 0:01:02.466850
[nlp] ... items processed: 45000 elapsed: 0:01:04.245300
[nlp] ... items processed: 46000 elapsed: 0:01:05.501121
[nlp] ... items processed: 47000 elapsed: 0:01:06.900526
[nlp] ... items processed: 48000 elapsed: 0:01:08.528204
[nlp] ... items processed: 49000 elapsed: 0:01:09.825547
[nlp] ... items processed: 50000 elapsed: 0:01:10.870137
[nlp] ... items processed: 51000 elapsed: 0:01:12.031313
[nlp] ... items processed: 52000 elapsed: 0:01:13.749748
[nlp] ... items processed: 53000 elapsed: 0:01:15.320434
[nlp] ... items processed: 54000 elapsed: 0:01:16.108970
[nlp] ... items processed: 55000 elapsed: 0:01:17.589042
[nlp] ... items processed: 56000 elapsed: 0:01:19.292425
[nlp] ... items processed: 57000 elapsed: 0:01:20.900402
[nlp] ... items processed: 58000 elapsed: 0:01:21.861518
[nlp] ... items processed: 59000 elapsed: 0:01:22.775658
